100
73,32,,,,62,51,92,,72,,81,91,,81,48,,,85,89,,17,,,72,,49,,21,89,,52,,,,,,,,,4,,86,18,53,,,,,21,84,70,,39,8,29,79,,,96,28,10,,,82,70,,74,6,,,,83,44,,,,72,,74,,15,41,,80,,10,30,86,,,33,20,54,,74,,,,6
,40,,,41,,0,60,95,,,,,16,,0,9,,39,,,93,,2,,,,78,,,79,,69,62,,,,,,14,99,58,75,33,,83,62,93,,99,68,29,16,,,,14,15,12,36,,5,,2,39,97,45,,52,27,,90,,48,72,,,,94,31,27,,,19,,,76,27,81,66,79,20,,14,,,61,12,97,
92,,45,29,,,94,,73,89,,31,63,7,,,,,39,,71,6,6,30,64,59,27,,95,30,,,8,,,,67,1,78,80,48,,,,,,63,21,20,71,,43,89,,17,96,,83,,,31,18,,,,,54,98,,89,89,,,,,23,69,,20,61,17,,,84,94,,,,89,53,,86,3,52,7,,,77,,
,,,14,36,,,74,,68,94,55,96,90,78,,19,84,38,,26,70,8,33,64,40,,75,84,71,,,2,49,99,,,,,5,,,,,11,,58,,,,,74,31,8,,81,46,33,62,32,,13,,77,,50,80,,71,72,76,,5,,,,94,,,,,86,16,26,57,45,,,,,,,,,,,,,22,40
57,75,,86,,77,,69,1,,57,,43,45,80,,62,77,,92,62,69,6,60,,39,33,,92,12,5,3,,,53,,0,,43,,99,90,63,20,82,42,,,,24,,,,79,,97,74,,,20,75,,,,21,13,40,,,,,,,,16,,10,74,99,0,,,,39,85,,62,,,,,37,,86,5,,,,29,59
62,,,,,,97,22,34,93,34,7,83,94,,63,,,,94,45,,,1,99,69,70,55,73,,,37,27,,30,63,,76,77,30,38,,95,,44,24,,0,28,,,75,,,,41,,15,93,,,22,66,8,74,57,59,16,,,,,,72,91,95,,80,11,,86,,98,66,92,,45,,,,75,,22,,,75,49,,22,
26,59,72,,,31,,,,,,72,,,,83,56,,,,49,,,,26,,,21,14,,,,,61,22,49,63,,11,,,,84,29,29,11,15,42,56,,,,55,41,27,68,,,,29,,5,,,15,,,,73,,75,58,84,,87,,,,,,30,12,,,89,85,87,,56,21,,88,,,,89,,,42,
,,32,,13,0,,48,73,,5,,,14,69,95,71,36,,,,49,74,,22,85,37,,,,44,,84,,12,69,29,21,,,,96,,,,3,26,45,35,74,81,,,,,89,90,,19,95,,79,21,4,,,39,5,43,5,,53,,,15,,97,29,,68,9,,7,51,,,,,,91,,49,9,,19,,,25,,
81,,31,,,,,18,,88,,,49,,39,12,2,,96,,75,5,31,83,,78,,89,94,65,18,16,,,84,,,59,7,59,,32,,,,,70,40,,,,65,,28,31,25,8,62,,,40,80,75,2,95,,39,,93,65,32,19,,,11,,77,33,,,80,30,,,,,,30,37,,21,,23,,,80,,,,
48,,81,69,94,,,,,83,,21,48,,,85,,21,,30,33,,13,45,44,29,,32,,,,,,,53,91,,,,,,,53,94,,,,,,,,23,12,69,79,16,,,45,67,,31,32,72,,28,94,,78,50,42,,,23,,94,,,27,82,37,,,,,,,51,,15,46,,,,46,74,,,,
29,18,21,,,,,56,68,,,64,,,94,,,6,,1,,,,77,13,,,56,,71,,91,49,59,53,86,,14,64,,,43,10,54,51,,45,6,,,59,7,,31,34,,65,,74,,58,,,,34,98,22,48,59,,,61,,,29,38,,73,,,2,,,90,32,,11,74,,18,77,45,,,,91,38,44,28,
,34,,96,,26,,,86,80,21,,,,,,64,87,83,,,,,,64,,,69,,,,76,7,19,,3,80,97,37,5,,,,,,,,65,,14,5,,,63,,,,11,30,67,,,,,,,60,,46,54,65,,,69,32,,28,,,59,11,,63,13,,,,,,,91,95,63,27,18,38,,88,,
,,,,,68,,,87,,25,91,,,,,5,15,,75,90,84,49,51,46,59,89,22,79,,42,2,32,,,,,72,,31,,31,,7,,11,,,55,,,,,,55,,,27,43,,,,,64,,13,26,,,,,,,,,,51,39,83,,,,,12,45,,0,,45,,53,,,81,,,,,,
52,,,,,39,3,,,,,,15,,,26,,,,67,,55,,,15,,,56,0,,10,94,,39,,,,,51,57,16,24,,6,,,,,,,59,,53,78,43,,,67,,,39,76,,38,,23,,85,,87,9,,,,,77,,,,81,,,,,34,35,,,60,19,26,4,,,31,,,,,63
47,0,,,61,,,,,,2,,,16,1,,,15,,72,1,,80,,54,19,81,,,44,,,,,,34,,,89,4,87,,12,8,13,,,2,10,56,,,,85,73,,,68,77,73,98,,,12,,,52,7,16,9,,25,52,,13,,,50,55,,26,70,34,26,,76,82,,,41,25,,,71,,5,,,,
29,,52,,,,10,,,,,83,41,,28,,,,64,98,,41,,,56,54,,,,,28,,,,34,,,44,,74,70,,,,,,57,13,49,,43,,52,,6,80,,69,,,,8,,,,,,37,44,55,37,,31,,2,33,,,13,,,,,,,,,,,,,,74,,,89,,,,49
,13,,,75,22,,22,,78,97,,66,,97,,,3,,67,,,,90,57,,,,21,,,37,,,95,,98,67,,,5,49,89,,,0,,24,4,76,,,,30,26,46,92,90,,,,49,,49,,66,,45,27,20,61,15,89,73,34,41,,63,,,22,12,22,,62,,64,25,,,,74,49,61,,91,,,,
,,4,,87,9,30,,,72,,35,,,,63,,22,,87,62,94,,36,,68,,59,4,95,,2,15,91,,,41,,,64,50,81,19,,1,16,,34,95,5,74,35,46,18,,43,,1,96,91,,37,26,11,,,6,,,,30,25,88,,35,,,,,,69,,,40,,,17,61,,,,,63,,,14,81,89,,37
