30
98,,,29,73,8,,,,53,72,40,,76,,32,,25,,,73,94,,16,,80,33,,,69
,74,64,,38,3,,,,,30,48,,,,,,22,9,73,43,,,75,,,15,66,84,1
,,,,,,,,24,,52,66,,,,47,,2,27,,37,1,,29,,,,28,99,74
32,,14,17,,,64,,48,,56,86,,,,,92,35,,,80,36,31,,57,11,45,,,
,82,21,,41,48,,39,,38,,,57,,56,51,,,,33,,,,,,14,42,53,17,53
,30,,55,77,75,,91,8,52,50,,,76,,6,,93,24,48,15,,,78,65,,,,,75
,,50,13,75,59,0,75,,90,,84,,,,,40,33,,,85,73,92,,,2,,57,86,
85,81,,2,,,,,87,,10,99,71,69,,,,93,69,,,37,65,48,13,3,,,33,
98,,64,,72,29,,96,80,22,,65,19,23,,28,26,21,,,73,26,,,74,0,14,29,,
42,,87,17,,,,7,,,22,,,,90,95,86,14,,53,87,,,,,,67,71,,66
,,,,,,30,76,,,39,30,,,27,,,89,99,14,59,11,,,32,,48,,47,
,27,,,94,,,26,,89,,,,37,,,83,,,23,4,49,88,,80,21,,24,,21
44,48,,,,93,14,34,,,11,8,,,72,63,34,,87,,78,98,,26,14,6,3,7,11,
,,,,,50,,,,25,,96,,50,60,88,,66,64,34,,,,,,,69,,,
13,,18,,,61,,,,,59,,,7,58,,82,88,86,,58,17,,,,97,,40,2,
,80,,99,74,36,67,,,71,17,98,27,,,33,,,46,,59,43,,,20,27,,86,55,
,69,51,,,27,,,,76,92,,30,7,,90,,20,24,,,,46,22,,,31,33,,17
,63,96,69,32,98,,,79,,61,,,,,13,35,,41,,,63,,,,30,73,,38,
24,,11,,90,,,,79,93,32,,24,,,,59,77,13,,,22,,77,73,63,,3,,
73,,90,37,,10,,20,,24,,,,,,,,86,18,,,,73,92,50,62,,6,,59
25,57,,,63,44,,,,80,,,79,,,31,89,27,,34,,,58,,,92,0,,60,42
,,,83,28,79,,55,,56,18,9,63,,,,,,,98,,,,66,,68,66,,64,
28,,73,98,,,,16,,38,,,70,32,,,35,,,64,,,,,,,2,54,0,
86,,,8,16,3,71,,25,46,,,,49,,,,54,88,,,84,,,4,31,42,,9,
42,,16,99,,85,,47,,,,,,1,59,,86,,,76,,,,80,,,,,,
8,,25,97,,,24,,,27,,,,,,,,,3,,,61,,1,38,51,,66,,
8,45,72,,,10,,,,,,8,57,,60,,,,,,,31,,60,68,,82,99,,
88,75,4,46,,,46,93,,58,12,55,,69,,30,,,64,,47,56,54,97,32,32,93,,,94
86,0,85,45,87,12,39,,54,34,,16,,70,,,,32,,,,,39,12,54,,,,96,
,,57,9,51,78,97,,29,,98,,41,,,24,,,9,,26,94,28,,74,,,,64,41
