40
52,,31,28,,49,4,28,17,,,,56,,90,5,88,82,90,50,78,,,79,0,85,,,10,,89,37,32,,,,,80,,
,,66,,,76,,26,70,,19,,2,88,,,,,13,,46,,,83,,97,74,,52,,73,87,,10,,,,95,,
44,,,,,,,,,24,,53,74,,,,32,48,,,62,,,,60,,,95,,,,28,28,56,,,98,48,,95
11,,77,,5,,,,,,72,,86,,,,,,92,,,28,89,38,,,,15,32,,,,,,,29,,7,,
,,,,25,35,97,64,52,94,73,,,,9,44,10,,,,33,61,66,,25,,63,,,,23,86,,35,,,4,,,81
64,,,96,54,22,37,,27,,8,,6,68,64,,,29,,,44,71,,,,,,,,,,85,,,7,78,68,72,7,
21,58,50,25,83,,98,,57,93,43,58,,,86,89,,3,,,,,87,77,,,92,,,,,29,,82,,85,46,,,67
44,,,19,,,,,96,,18,67,83,,,47,,,,40,11,,,1,,,,51,,15,2,8,26,19,,,,,,
,,94,42,,,20,60,21,85,,86,32,61,17,,,,77,75,,,96,,,,31,60,,58,69,,99,,,5,7,,,
87,,67,,62,28,,,,,15,,4,,,,62,77,14,59,,,15,8,,,32,51,,,42,,12,58,,,22,,66,89
,51,7,71,,,36,,,,,,83,,,70,51,55,,,51,,90,,76,,4,,72,95,69,55,32,8,8,73,53,,69,
57,95,56,,,,97,67,,,97,64,,,,,,43,20,,62,33,,,81,27,65,,,,86,25,,5,,60,,,12,
34,,55,,,,,,,0,,,23,31,,9,,,,,54,,0,52,10,,,84,67,,68,,41,82,57,77,33,,73,
41,76,,92,70,20,46,,,42,57,52,,98,87,,33,78,78,23,,30,9,,,,66,,35,,,,53,,39,,65,83,,
,,57,,98,69,,,,,62,5,26,72,,,,,,,76,,,,,68,,40,,0,33,10,,,14,,91,34,,24
,24,,,46,94,77,34,,,1,,53,,,90,38,,,56,29,,,,,,,,52,99,59,,38,53,,90,37,74,,
61,,,,,,38,,,,34,,,,,13,4,79,19,21,,,48,,,44,,68,86,72,65,,,,22,,,,,50
,0,43,,6,49,21,15,56,33,,71,81,,,,,,67,,,,77,75,27,53,26,63,,42,,,68,43,79,3,68,66,59,10
,33,,,94,98,79,,23,51,85,63,,,0,39,73,,,84,0,,69,,,,13,,,,98,,,,,,,79,,
31,4,,,97,83,,,22,56,24,,82,,69,34,,,8,38,,39,79,26,16,,,41,,,89,45,,,81,29,,,,44
,,76,,,22,67,64,2,,39,44,23,,5,63,19,,,55,27,,,51,,6,,45,43,,16,,,,16,16,41,15,62,
,57,,45,61,,,,,57,24,,,79,,,,,,,60,,31,,,32,,26,,,,82,,,,24,,77,79,1
61,31,,,28,54,,25,20,18,,12,,34,38,17,,,,,,92,,,4,,21,,74,,25,4,,3,22,71,61,11,,
35,97,67,,42,,0,,,5,,48,9,59,98,,,,,11,,25,84,65,48,16,20,24,,27,,23,23,63,63,,,71,96,34
14,,,,,57,,,,,,31,29,0,,89,,,,,,,,64,70,9,98,,,43,47,,,,,,20,93,,0
86,74,,18,,14,59,,,,5,,,34,,,,,,69,,84,,4,,,,57,,,45,88,95,,,,,38,6,
75,79,73,,87,20,91,32,33,36,37,52,,,,8,92,23,,23,96,,,68,56,,,3,92,70,,,,47,,59,52,85,31,7
,,51,,,94,,30,50,,,,96,,,2,,,49,,,37,8,24,,,89,,96,53,,,,,38,27,,1,,87
94,25,54,37,2,6,82,,73,3,,95,,,86,,8,25,40,,15,52,,80,,78,,,33,95,95,24,67,6,,,,,,
,0,,34,,,90,0,64,27,,,23,,70,,,53,78,36,90,,48,42,,,68,21,83,,38,,,,5,,,47,20,
73,3,78,,82,2,7,68,91,,,,36,79,,,16,4,97,41,,1,48,,89,66,,,40,80,21,,34,,,,71,29,63,
30,,,22,14,,,75,,,,33,,,60,,13,,54,79,92,,,,,,,,10,,61,,,44,,84,80,22,81,25
60,,37,,96,96,9,,93,65,69,57,,41,,,20,4,,,,34,,,,10,0,58,64,,43,,13,,24,3,77,35,,22
,,26,13,23,,36,,,,13,,59,,,,5,,10,,42,,25,,,25,,,,83,59,47,,,,,,,51,82
79,7,38,,,,,7,,46,2,,,76,3,90,45,,56,,,67,5,89,,42,,34,90,54,28,,73,,51,38,99,46,,
,,,,,,57,,,39,73,,,,,40,32,,,,,,,,,23,,20,53,90,,83,,92,,,,79,,85
,,,25,29,,68,92,,,79,,2,32,79,60,42,,14,,,,51,,92,95,55,,36,10,82,,36,,21,39,22,76,,
,,43,,,54,2,,,81,8,,68,,72,,,35,,,34,,88,,,,60,52,,21,34,,,6,,52,,90,38,
,31,31,,,53,87,82,3,96,,,52,,,11,37,36,,89,14,10,,,,,,,,90,2,9,55,,,,,,,70
35,94,76,,9,,47,,,,,97,87,71,17,,33,,,,30,94,,16,24,69,,,,98,5,94,,82,80,14,24,,21,84
