60
20,,,,92,46,,,,,60,,11,85,,41,,22,,,,,32,74,,,,4,,60,65,,,35,59,,58,,40,2,,,75,,81,,,39,,,,21,,,64,,83,72,,95
9,99,48,,,34,,60,97,76,,53,,,,,,71,,70,,,,,87,16,96,23,,83,,,11,79,17,,69,39,15,,70,11,71,,,,,92,,,76,23,,69,,16,,,3,
,,5,,96,55,,,,69,,36,,60,40,58,18,54,57,,,,29,70,,43,82,52,27,20,43,,43,81,,58,,,60,31,,45,,,79,,,54,,20,,,,58,,,,,30,
,6,33,,,,81,,,9,36,90,11,,95,59,40,71,90,,,,32,27,,16,99,,95,41,,1,69,11,,32,18,,,,,42,65,,,43,,8,88,56,0,,62,,80,99,38,,,
,77,,98,,63,55,0,,,26,,56,,33,,,54,,,87,96,,,,,76,36,,,3,,1,,,43,7,93,,,,45,21,,67,,,44,83,,30,,,66,81,0,7,35,,
58,88,78,88,3,,55,,23,5,,,,,30,,42,79,24,,15,45,,,,76,95,,,,,,33,,,,88,,,,,,20,55,,,3,,,,88,,10,,56,,93,96,,
,24,,,90,75,2,,,73,46,,,,,,30,81,0,,,,36,,,,80,82,,,,,99,,45,,,,23,,0,,,89,,,8,,,,25,,66,47,60,19,33,77,,
,,,4,52,,,75,65,66,,20,,85,,,,,,,,89,,,,,53,39,90,,,52,,,,22,29,,,21,,,75,40,91,,74,,70,83,,63,45,,82,83,,42,70,57
82,,56,,10,,17,11,75,,2,,5,,95,,,98,62,,,3,31,,,,17,,,55,87,9,54,48,,46,57,94,,,,,,,,95,72,60,,,,,,,39,,43,,44,
27,,,,18,,,,,,60,,,13,,,72,58,93,99,,,34,,57,81,,,30,14,,30,63,,,52,11,,,59,78,,,,,23,,,,,72,,,3,85,,,65,,
,19,,62,18,,,60,37,,,53,59,,,34,11,,,,,95,,55,10,,41,90,49,,65,,,44,54,,,44,,,42,,8,15,,97,,,35,67,17,21,,,0,,51,39,89,59
17,34,63,83,,22,,31,21,,99,,93,,,,,74,98,21,44,,,,,69,,,11,8,0,11,97,,,,,4,,,,73,40,19,,,47,,,,53,,,,77,28,,22,,
,32,,41,12,55,,92,,67,81,41,26,,,64,,,86,,27,,,37,,33,,93,59,84,,,3,,,,2,,2,,47,,,53,3,92,69,77,64,,80,,,,78,45,39,64,13,54
,,,90,,,11,9,61,,,,,60,,79,30,,4,,54,,38,,31,39,12,91,,,55,86,99,,39,,,,16,,,,71,,,,79,,,36,26,,43,21,29,62,42,,2,54
,,,,41,59,,,,,85,15,61,94,,,37,,61,,,,12,,77,69,59,,38,,45,,,82,3,,,,,88,56,15,,66,,,43,1,,6,,,70,53,,19,21,49,,
47,,,65,,22,45,,,81,,64,,,,,61,96,,80,31,8,,9,,,,,,,,,41,44,,60,53,,20,7,,,67,,9,,,,74,43,32,,50,,86,,37,72,11,
,,,78,,45,33,36,41,,32,98,54,,29,,,60,,,45,,4,,,8,60,,,,60,52,65,,,,,58,,,97,,,,,63,13,,33,,,28,72,,96,77,5,47,56,94
,22,,31,,54,46,,,,,,90,,92,,,10,,,,83,26,39,8,,,42,,7,78,98,,,40,,,25,71,,98,,5,,20,15,39,52,63,51,74,,,,,,42,,,70
46,,42,,,,,84,,24,,,,,,,78,,1,22,99,,87,6,,54,,62,,,,65,63,3,,68,,60,7,,51,12,61,11,77,13,,46,57,,84,94,,57,75,64,87,6,,14
84,,88,,,,,,,13,,58,,0,,46,53,,,94,89,,94,30,99,37,,36,,43,58,11,,87,71,,,,49,14,81,,8,,40,70,2,95,55,,15,10,,,,15,,,,
43,53,,80,62,2,63,40,71,61,64,,,80,53,1,88,,,18,,59,,,12,81,,62,40,18,,36,,34,,,,,68,51,25,95,,17,69,10,12,95,76,,95,70,64,,,30,1,,86,57
,98,,62,33,,69,73,,76,1,,,,,,,,,,86,,,18,,,,,,,13,50,,43,,47,,,,12,31,10,20,,22,,,64,,0,,57,,,12,6,27,98,16,54
72,,97,58,28,22,,,,,70,,,,,,46,5,,88,22,86,55,72,47,11,20,31,,50,56,21,,,65,,88,,68,0,,50,45,57,,24,,15,,74,,,,85,,,19,,,40
,,35,27,,,99,,,,79,,,,,,,,37,14,,,,41,67,30,20,3,26,,44,,50,,,30,90,,,,25,,,,13,,85,89,89,12,76,68,,23,0,,,,,38
89,38,97,8,,,17,51,86,,38,,,63,,,53,,70,72,87,16,,4,,78,,,34,,,,81,83,57,,56,80,8,,89,1,78,,,,,,19,36,,,,,,,87,59,54,
,63,55,,,13,42,,50,46,,,37,22,27,16,75,89,63,89,18,71,48,24,61,,50,,,,54,,,58,71,74,,54,,,,99,,57,14,94,,,,,55,66,,,,45,30,23,,24
,,,75,,,,91,,,82,,,,,53,32,,,87,80,,79,27,20,,,75,,,,14,66,60,10,44,,34,,,,,,42,68,,,55,42,,,,68,,6,72,,,,
48,,,,,0,93,,,,76,89,67,,,7,16,17,,,66,,,48,,37,,,82,,,11,,,36,,,,79,,72,90,87,23,69,,23,,21,,82,5,38,,43,,10,14,30,
,,41,23,,,,,,,22,,66,69,,78,,38,70,60,,,37,70,43,,,20,,37,,24,,,,13,,95,,67,,80,,,,,,,75,62,94,,32,17,,,,17,35,
51,27,,,,7,,,,82,33,27,,41,,,84,9,,,74,,88,,90,,,43,45,17,75,,,26,,18,,16,,14,,47,30,,85,,86,48,,25,,70,,3,0,96,96,,,64
,,,,,,,13,,,,33,55,,,,,62,,52,85,87,38,,,32,,62,,,,23,15,,20,,,,,,,,,92,,11,,18,78,37,61,,,61,,,34,,,75
,,,,,,,,,70,12,14,87,,98,,38,,38,,,,,0,27,,89,68,44,,,,,88,19,,7,75,,,,,,,,,,,,35,58,,36,84,73,,40,16,,89
,2,,,,10,29,,54,,12,12,,,,54,,,1,,69,35,65,,18,,19,48,10,38,22,,,70,,,27,,,,,91,98,,83,,,70,93,82,82,,,15,,,,21,50,
83,,58,,,95,,,,,,95,93,28,17,,,,,37,,63,,43,98,,,,,13,,,72,58,24,89,74,30,25,97,95,,,57,58,,,13,,,,3,56,17,,13,,,66,4
,97,69,,,,72,,,10,72,50,1,,13,69,18,,72,,,,,,,0,,,63,,,26,28,,,,,,,23,4,54,,,26,23,94,32,,39,3,22,25,,29,20,91,,69,15
19,24,,93,90,,,63,97,36,,,,51,,,,,47,,56,94,,,,,87,,,0,3,,86,60,0,,98,90,,,6,49,,12,,32,,29,60,,72,,,7,15,,57,,,6
80,,6,29,42,43,95,,,7,,,30,,,63,,,,,,,57,38,86,11,,22,84,20,,,,4,,,36,,,20,73,92,,,,24,94,99,48,10,44,,,,92,,,81,,
11,,,22,,7,95,,39,56,3,78,73,,,30,24,87,,,,,90,,,21,,,19,18,71,,53,16,4,,,,72,68,,,,37,,12,23,,,,0,84,69,22,57,53,5,88,,
,45,,,,,80,97,13,74,,,,,,,,10,,,,52,51,74,,,59,13,76,,41,9,51,,68,,39,,,59,,14,7,34,,43,,,95,56,6,47,,,29,80,,47,,
,,,54,52,,,,,12,,,,71,47,,50,,,,47,58,,,,73,,82,81,15,,85,,18,49,,,52,90,50,,,,,54,54,79,90,,,,79,49,,,1,,,,91
17,75,,,24,23,,83,,,,,66,,92,9,,91,95,,20,49,,76,74,,,,47,,,,6,34,52,55,95,,,5,,93,51,26,5,,88,94,81,16,9,,,15,,,,15,,
44,74,,10,,,26,,,,,,32,,,65,29,22,,99,39,,,,,,15,48,,29,,57,,50,63,0,83,,65,13,35,61,87,89,58,98,47,97,84,,5,,,,,,,30,,
,10,46,98,,7,,,,69,,67,30,14,42,,,,8,,72,,6,20,,,17,13,,95,,,,,14,91,,,19,,39,33,70,74,50,,61,,,59,49,,,,30,75,,0,,17
45,,48,67,36,,,0,,,61,,,,2,,64,,4,,42,,63,,,89,65,,,59,32,,,,,96,,,75,4,,75,56,47,,,,22,23,,47,66,,26,66,95,,,49,
,,,,43,,,,,,,76,0,42,41,13,94,,,,65,,,,8,,,,,47,91,,47,30,,95,,85,,54,30,42,59,,,74,3,,,65,,78,87,,,51,,35,86,51
,53,14,24,54,98,63,78,32,,,6,32,,,17,,,,,,,,,4,,,13,,66,,92,,64,22,,17,26,,,,83,,,76,,,,80,,,,45,54,70,32,,,,
,52,4,,,,44,,52,,41,,,,,,,,42,,,,,,,15,,89,48,54,,,53,,14,,30,55,,,13,56,,,,76,,58,,8,27,3,23,93,57,75,92,85,17,
5,,,,2,,64,,46,41,,,,0,16,,,10,,,88,,71,,22,,,,92,52,60,39,,38,,82,59,86,,,,0,,15,9,,,39,,,,60,33,,71,,,83,,
,,,,,11,,,,,,,,25,,,3,,28,,,,,,,82,,55,39,82,43,89,,,94,,14,76,44,,,76,18,,29,,,48,40,,,,,35,63,,,11,22,
,18,32,13,,88,67,29,12,72,,19,,,88,,4,,26,,,,,,79,,61,,,,90,53,92,,89,,75,,,58,73,95,87,10,68,,33,53,22,,21,69,32,20,92,41,,42,13,72
28,,,83,43,75,,70,,76,,99,33,,,,37,38,79,46,11,59,,28,,,,83,84,3,,0,,23,61,19,48,,,,0,64,,,,88,22,75,20,,44,,,78,7,3,,49,45,
,,20,,3,,,29,,75,,,32,64,,44,,,,,,48,,43,31,14,7,13,7,51,54,,61,,82,55,46,0,,,47,92,18,77,16,89,,44,,34,62,,,,,47,65,,,
