80
78,,19,49,,,83,,,,5,,,,,,54,36,,,0,9,,,,,83,,55,,18,28,53,68,,,,61,,,,,83,27,16,,,,,,33,2,,8,83,45,,,13,4,25,39,77,28,29,77,72,,,,,39,58,,32,42,33,27,53,
29,38,71,,,52,68,,49,76,,,,,28,4,,98,,,,,,55,2,58,50,24,,,,6,57,,,,,,,,,,,,,,,33,,67,27,2,11,64,37,,,,,0,,87,33,,27,,40,14,,,79,,,22,,,45,,73,
,,,,74,,17,22,97,,,64,,87,,,27,94,,37,,84,14,50,,,,,,,11,,,10,6,56,18,96,73,77,,17,,,,,,46,55,,,,,,,,,0,89,81,81,48,52,,,,,40,19,,,,6,8,98,,,62,,77
,,81,31,,,,,8,74,34,56,29,95,39,7,,,,,85,63,1,86,,89,80,46,,8,,,,3,,,,,26,,44,,81,,,,,,3,,29,,,,,,64,,92,,,,,29,70,,41,,,,,0,,29,7,,50,78,83,
,90,,58,24,,,71,,93,,,90,,,,,64,,,,75,,81,,59,6,16,48,35,52,77,72,,,,11,71,90,89,,,11,,60,99,,52,57,,,,,92,,,68,76,86,50,,92,85,97,42,,56,31,79,,,24,26,,52,74,77,93,15,
,,23,,63,84,,,,,,,25,53,35,,,33,95,39,,65,,48,13,52,15,,86,,76,75,,,97,,72,99,92,86,,20,27,42,,10,,,89,,,35,35,70,28,,8,38,,,,,,,,33,16,12,,,,,,,3,63,,77,,24
,75,33,22,,,89,,,89,53,77,,,,92,96,71,4,28,,,,86,16,,,86,8,89,,22,,6,38,,43,23,,,,53,99,66,,86,51,6,32,2,,,,,47,,38,,70,16,97,,,,,15,,90,48,94,49,8,87,,39,,68,,,82
34,42,33,74,73,99,75,,49,,,,,3,,,59,,,,82,,63,32,,25,,,,58,,,70,,,92,61,41,98,24,,,0,9,18,,,,,18,,93,,52,36,,,14,83,14,,14,37,39,,,89,,83,,16,,,97,33,91,,85,51,
,,,31,15,,,95,5,,,,9,,52,,,42,4,,,27,,,5,17,,,88,5,,80,90,,0,47,,78,34,31,15,,,82,24,35,17,74,45,,20,73,,33,85,32,19,,,,,21,6,,,,,87,23,,33,,34,59,,,,51,80,
,19,,27,,91,,,11,,63,71,61,,,55,,1,70,,93,53,47,,,60,,31,35,64,,,,72,,,20,,,30,,,57,98,15,,29,,59,,76,43,15,62,17,,97,81,59,,47,55,72,79,26,14,6,69,13,48,,1,,,,48,,,,
7,,,81,,,96,25,53,,85,,,,,,50,,,,,,,66,,,,,92,82,60,92,,,,,3,,35,48,34,79,42,,94,,49,,,,,,,,18,,,,75,37,77,,,,82,,42,,,81,,,88,73,98,76,,49,,
,47,9,,91,,,,,2,,,,29,,16,,,77,,,,6,84,63,,19,89,,66,,43,,69,57,,,90,,89,90,72,,,,95,,27,,,,27,,,,,16,,49,34,,,,,,,,65,,,,,,65,,,,,92,86
34,25,99,,85,2,,,,,,,63,55,80,3,,,81,,,,9,38,74,43,,50,,10,82,58,12,,52,,15,44,,72,21,58,81,42,,,,81,,80,,13,55,29,,,38,57,,,,8,,45,,2,81,4,96,,,,25,16,28,,3,,,
10,,96,16,32,55,,,,6,68,,,12,,,53,96,90,,,,35,72,,69,8,,,,81,,75,,,,,,,,89,8,,,,,80,,54,15,,,34,3,99,,76,,3,,,75,,,,73,52,40,46,,57,,,24,,61,71,24,54,
,31,,,15,88,29,32,28,,,93,,,43,,,,,8,88,,,9,,,,,,,,,86,30,73,,,47,,,,82,,14,44,,53,,63,8,37,,78,,,,2,,,62,,97,,,,,,,,,6,,,,,,,1,,10
,39,,73,9,,17,55,,,,88,,28,86,,,,45,74,94,,,,75,39,59,76,36,,,,55,72,,,,,,,57,16,38,77,,,,,71,,22,,,,3,,,,,12,34,,76,38,,42,,,81,30,,,,,70,15,55,86,,
0,3,,49,,,,92,67,,,,,63,,66,,,,,,10,,36,,58,,,,,,,,57,71,,,39,,,,,,,,40,,50,,,,,55,,50,82,,,,,1,5,,,58,25,,20,96,5,72,,12,10,36,55,,,,72
,29,,63,14,,,,85,,83,,19,47,45,,,25,99,35,,,,75,,,37,,,,,,56,,98,,,,,75,89,,,,47,,,,33,,9,54,31,,59,,86,5,,,83,52,,,36,40,30,,84,75,,86,2,,,42,75,82,36,64
