90
,22,,99,91,52,93,,,51,,27,,,,,,,97,4,,74,3,,85,,37,,49,69,71,,53,,,,,,92,52,31,,,76,75,13,,,,21,,,71,45,9,,,39,,79,15,58,54,44,38,79,,28,,,52,20,,24,76,,,82,1,47,,59,4,36,48,36,54,,59,
,47,,,85,52,,31,48,40,,54,,,,,64,,33,,,,,,,,,,,61,,24,,,,,,,,,75,76,,89,,84,30,27,,8,79,,20,29,32,17,,,,,,,,,,,,,,,,97,,,,92,,,,42,33,,,73,,,95,49,28,
,,92,,8,,29,,,,74,,12,38,13,42,,64,15,38,,56,34,14,38,98,21,,,48,,88,,,12,73,,36,49,26,85,,,,30,65,20,92,70,47,99,,3,,8,,,25,11,,28,66,,,85,29,,25,,,80,,,,7,,11,,,24,,58,64,64,66,93,,,,79
,,92,,,69,28,86,43,9,,75,71,,,4,,91,22,73,13,48,,,96,,,18,47,,,,,,,70,,9,,,,71,12,55,,,35,81,42,77,23,,96,28,,,,97,95,,39,25,,65,,62,,28,86,93,19,93,10,58,,,,86,,,,,,76,93,29,69,65,,30
,,,,7,92,87,96,,,13,,26,,15,56,,,67,,76,61,,,,33,,59,72,,29,,,55,,46,2,89,,59,65,25,,59,86,,,,,31,4,,97,54,58,,,,,,,,,65,60,,61,,73,81,1,,46,,,,44,21,,39,,46,,27,70,,,32,,
,,4,,,,53,60,,,,,21,,,,,,,91,,59,39,,,,69,49,,48,54,,18,,,73,,,81,22,,,,,,,,54,61,,,,84,89,,14,,,,,,51,31,78,,,58,19,,32,,4,54,,42,33,69,,67,4,,,53,25,,,28,,,
,,39,34,30,,60,,,,,,,91,53,3,16,,74,11,83,,35,18,90,,13,,64,,,70,53,16,,86,,,,,,73,74,70,26,,,80,29,87,57,97,,,,,54,55,,,,,91,65,,,,,,,79,,,91,,36,,53,,11,,15,19,,,,63,17,63,47
,94,,,,6,,,6,12,,,,,,,41,,87,,,15,95,,68,,53,74,14,,4,52,,76,,74,,,60,80,69,,50,11,9,,,,,41,68,98,26,,54,,,83,,,79,,,37,,97,,,59,,,,,54,,39,86,64,,0,56,87,40,88,,,,64,,
87,93,,,,,,57,,81,,40,92,80,41,47,33,,,23,,47,61,37,,,,30,4,35,,,,61,,86,,41,22,,,,,80,,,93,,14,27,39,,,36,4,56,60,,,,66,68,,,,,92,35,6,51,99,,,19,,,31,,,,,,74,,29,,57,,,
,12,92,32,51,99,,,,58,37,,48,75,89,,,66,,59,87,3,25,,,,,,86,53,67,,,,25,,,,,,,25,78,65,6,45,98,,93,96,,,,98,,89,,34,38,82,,83,98,91,81,,,,70,54,,,33,40,,46,,64,40,76,,,6,,10,61,47,,,
,19,1,79,,,41,17,,11,,21,56,49,47,,,,66,66,79,51,,,39,35,,14,28,,,20,,,,,,34,16,80,80,49,,16,,19,71,11,56,42,42,,45,4,60,,52,97,99,,26,58,88,61,22,,,,73,23,28,,38,,88,,,26,,77,,77,21,16,90,92,38,,,0
28,,11,,96,21,78,,76,71,9,47,,94,,,,,,,,,7,74,,87,95,55,,,63,,,34,,30,5,,,,86,,,,15,93,11,17,65,,1,1,,,,,,32,,,,98,22,54,,98,17,,59,43,66,,1,,25,35,,,43,17,,,,96,,45,2,,37,82
,,,,92,11,71,,,69,52,91,,4,53,,,,5,95,,24,77,,6,94,,,,9,,,,3,96,58,58,11,,,,,,18,29,,,18,,38,65,,14,,33,96,,,,8,84,48,,,76,75,,13,,63,,74,,,,,,,72,,,91,,,,,,43,,86
96,41,,,44,56,,81,,13,,,,72,63,,61,81,,2,72,4,,64,,,,,69,3,,65,7,,,,82,41,,,,31,,92,76,,85,,8,,,,4,,,83,,,,88,66,40,,10,64,61,19,,46,,,,,3,18,,89,,,36,,,,,12,82,96,,,
30,,18,73,,94,,,,,26,72,89,,,53,90,,11,,26,,0,,,36,,8,,60,76,,24,67,1,29,91,52,,86,37,,,86,,,50,85,,66,,33,,,18,,,91,57,58,61,70,,21,,,50,,,,,93,,34,65,,,,37,72,,,1,,,11,,62,65,
,,,,92,97,74,49,2,,,,,28,,87,81,95,,,,34,,,22,80,8,61,59,87,,,,52,68,34,,5,63,63,90,,40,,,99,,,,81,,4,60,28,,67,,26,,,5,,,,2,23,,57,,,40,91,,,24,,,50,,,15,32,22,,36,91,90,,,27
,,36,,,,94,,89,55,,,,70,,,53,,70,,,,,31,0,,97,,,42,14,76,18,,78,,,,6,23,,28,,57,,17,,,,,78,79,,50,,,94,,,11,68,,1,,62,,83,38,,,,15,10,,91,92,,,80,,,74,13,,,42,71,,,14
,,45,,,7,,52,,73,51,,,19,,94,95,,,95,15,,10,,,90,88,,84,3,18,,,,27,80,68,,,80,,31,1,59,,66,,,,,,,52,,67,90,62,46,1,,56,35,,86,38,25,,,72,,,58,,,57,69,,21,29,,,,,13,,,,22,82,61
15,,24,,,,83,84,,78,66,49,39,,63,91,,,22,40,6,,,,80,54,19,,,,,57,13,,,,,,71,5,,,53,,27,,72,,92,41,53,21,40,11,,,,,54,,,,,78,,,,21,60,68,92,71,63,49,,,85,44,,,,67,41,,46,64,68,87,,
,3,64,33,,27,,,11,67,,,,,20,50,,25,4,51,38,,,30,,,,45,,4,,,,61,3,7,36,,,97,,43,35,4,28,64,,21,,,39,,,,,27,94,72,,78,,38,,96,76,82,,,14,84,,,29,67,,62,31,43,,,,,30,,,,,98,,
75,,,64,,,,,,,47,35,,,21,47,65,,41,45,,35,,,66,62,,,,10,36,26,30,,,,78,73,59,,18,,13,,,8,44,32,,29,,,,37,,86,,,60,96,,,38,12,74,,95,,8,,9,,,,,10,,53,,,,,37,82,,,23,8,78,90
52,,,,,27,93,,,,,,93,76,29,64,9,47,72,95,,,,1,,,,36,,55,45,50,,,89,,,,,,,25,,27,,,,52,,,,,24,,82,,,,23,,,,,,,,9,,4,,,84,32,,91,,55,,71,,,24,60,69,98,,65,,,
88,,,97,14,2,79,46,74,,89,,72,,,36,26,75,,1,8,18,,,,,,83,,,,60,90,,24,,,80,85,61,88,,,,45,21,54,10,9,,,55,,17,,22,,,,44,41,,,51,,,,,2,59,5,50,,27,,8,72,,,,,18,,97,,,24,23,,
,,,,39,,,8,19,4,,,,66,73,11,80,15,24,13,22,,83,79,,,45,,91,,,,,51,19,,,27,7,,,,9,56,,,,37,21,60,22,12,43,,45,82,,55,,6,22,,83,56,43,,,17,53,,8,64,81,89,,62,11,,5,28,,54,14,72,,62,,,,
22,,,8,,,96,,23,,7,,,,38,79,47,48,,97,16,,44,,42,51,,35,,10,15,87,63,80,95,,,90,30,58,35,50,33,96,75,59,51,70,,,,25,93,18,44,,51,84,,21,79,,24,24,,65,,5,56,,,22,,38,,,,,,,,,,0,99,,95,90,82,8
,39,26,,52,64,77,24,,,4,,,70,,,83,45,,56,,60,50,,7,,44,,87,,,24,28,,,49,,,82,79,67,,99,,,,,,77,29,60,7,,47,,76,,84,,72,21,,59,2,40,,3,70,,,12,84,,58,,,,41,,42,,,,14,51,,,32,,
24,50,94,97,12,42,80,80,,,,,,,,91,67,,47,,,98,22,90,,,,13,,,32,,91,,,,,90,,,,92,,3,,,,92,9,26,17,,,9,,,,82,,39,,67,,,81,13,,,53,,98,,69,69,44,,,,83,58,34,48,83,,48,35,6,,,
,,,88,92,41,22,69,87,,86,,95,33,13,93,,9,33,54,,,96,62,,,,81,,49,,,19,,89,91,62,,49,91,6,19,3,86,,,19,,,,7,87,66,13,,53,13,86,57,52,,,,36,,,32,,,25,24,,,90,,54,89,47,,,81,0,19,,,28,,96,3,1
,,65,,,70,57,59,90,4,56,2,31,,12,,,,,,,1,,20,59,90,73,,,,53,,22,,,,,21,,49,17,,,30,47,38,72,,,,27,4,57,,,38,,66,34,,,31,,13,,40,78,,,96,,54,,,,,85,,,20,95,,,,97,25,,78,,
54,,64,,,,,32,,83,,,,,,8,78,68,46,,46,98,,,9,13,,77,2,,94,,,16,,56,74,47,14,,90,,78,,43,,,45,,,,,72,,,93,71,,81,,,,95,31,10,,,90,92,47,21,41,,92,,,,,34,92,,46,44,,85,35,,38,,
,90,87,,,33,,58,,31,10,,,,,,,41,,,55,,,,,85,28,75,,52,22,35,78,77,3,38,88,,42,82,29,41,,13,,,,98,41,60,,,,,,38,,,,,,22,,,67,77,,57,52,91,,67,,,,,92,39,88,29,,56,,23,92,,62,36,,45
55,,76,,,,,84,90,,29,89,,95,56,,,,25,,24,,,,74,53,17,,15,,57,,48,,62,94,7,19,,71,55,,,3,0,67,26,67,78,,34,31,,69,47,75,,,,,57,40,,83,,1,,64,87,,17,37,43,,,,,3,,,18,,,,,98,,92,,36
53,,,91,,34,33,,,17,,,70,93,,,,72,35,,,65,,30,,,85,32,,38,6,45,,20,,15,,26,,,7,19,66,72,,,20,,,23,21,,42,,52,,,,55,,51,3,56,,67,29,31,,,77,,,,77,48,18,,97,,,43,,,,,,98,14,,
44,,,60,99,,,52,,,,,3,,,11,28,63,39,42,,13,0,24,,68,49,90,,63,64,81,77,,96,40,18,,,82,53,6,55,,98,,,,,,78,42,,4,,15,2,46,44,43,90,,86,,,56,,77,,21,96,,64,,3,31,,60,,32,7,83,12,34,,12,19,,,59
,9,26,,45,13,,72,76,,53,62,79,,97,47,,,97,45,28,,79,,,22,71,,,,,,,86,51,,,16,,5,99,84,,90,,42,86,15,34,,,,,26,1,38,2,69,,78,,26,,,81,55,,,,19,57,78,,,,86,89,87,,2,8,79,72,,,21,,,,6
0,10,87,,,98,8,72,60,,,,70,,,,,10,50,,54,,,4,80,20,,,1,71,98,13,7,64,,1,51,,,86,93,,,46,,67,30,68,3,33,,3,68,48,,,63,32,12,58,40,,65,,,,33,16,13,26,63,20,,,2,75,,73,,,74,,23,,38,65,,37,38,
71,68,,97,,,86,,,,,77,,76,,66,37,97,92,,,,15,98,,55,69,,29,93,60,35,23,,43,,,51,,,,,,71,75,76,50,73,,,,,,,,,64,,48,35,91,51,98,,82,,25,3,,64,,18,13,,,,,61,19,62,,,,,12,,29,70,,25
,52,81,,15,39,54,,82,7,,63,86,67,,,1,76,,83,17,80,,,,,,,54,,83,,28,,12,25,,38,,,,91,35,0,45,51,58,70,,94,,,38,74,73,,55,34,51,,10,,,41,43,89,,12,,,,,,5,3,96,6,,,14,63,,53,,51,47,3,,75,49
15,,92,79,13,29,,49,,,15,14,,2,29,,67,31,85,,14,73,70,,,85,,89,12,,,5,14,62,,,63,,,45,,,71,,,77,18,96,98,,,12,,,,38,68,4,64,,36,,,57,,12,73,66,33,88,,87,74,,0,48,39,,,10,89,76,,3,,63,42,17,36,
24,,39,,59,,89,1,35,,25,66,84,36,,,,,59,63,,,,9,,,,88,72,57,42,3,72,42,,,93,,92,,,,,15,,32,83,,0,9,93,15,,23,85,,17,67,,,,,,,,,,32,,72,33,,,60,47,28,48,,19,,,,,,81,,,,,
,73,60,,,59,66,35,55,,,,67,,,47,,,,43,,,50,,14,,29,,,41,,,,14,93,24,,,1,,,2,43,66,0,16,19,,28,,,,,,74,,,57,34,,43,,,,,,,,82,,26,10,,,,,,51,34,14,47,66,87,,,83,16,99,,95
,,,,27,,,,,64,95,,34,76,,37,,7,,73,,37,49,,97,50,29,24,,96,,,,,4,,34,27,,,,58,,,6,1,,,,,58,,,,53,90,44,62,42,,,81,,,72,81,,,21,,,,27,,80,10,1,,2,,38,73,53,15,,,23,32,97,
33,,,,,,,1,,11,,,,35,,,4,26,,,96,,,15,21,,,33,,36,,49,21,,,,,34,,,99,15,65,,,,,,77,,57,49,,,,,75,40,,39,75,,,,85,,95,15,46,,,,,,,57,,,66,69,,,37,,62,10,,37,40,
