200
,55,,52,,,,,,55,,6,89,,,,,,,39,,,,67,,,,,16,,34,,79,,69,,1,54,,,,,43,17,70,56,13,31,15,,,,,17,45,4,11,,,67,,40,,91,55,,,,85,,19,80,,,72,97,29,65,,,,51,,,,33,27,16,,34,96,,56,24,49,63,,,39,,30,65,,17,70,,42,10,98,,,,,,,,,80,69,97,94,32,,,41,,31,4,73,53,19,99,89,,,95,,90,,,1,,75,84,86,75,,86,,74,,78,,66,,23,34,4,31,,,66,78,33,,,77,17,,57,,29,64,79,36,32,33,,,,53,56,73,58,,22,,22,27,91,31,14,,92,,,,,8,91
,43,78,9,,83,,,88,64,,1,37,,24,,74,,,,,25,13,,,51,,,15,,46,29,21,,99,58,,,69,,,84,,31,81,,,89,,,,63,,29,,,,,22,81,,,35,,,24,,,,83,,49,20,81,,,23,,33,64,35,39,,59,,40,,66,46,,,,21,,62,23,12,9,41,97,10,29,99,,35,37,,43,46,,67,,,59,,,,70,3,37,,,,37,60,38,77,98,78,10,8,69,,,64,,50,7,,,,72,42,,,29,0,,4,,71,65,,,,,,,6,97,,89,,99,,13,76,34,48,12,,82,,74,,,,,72,,18,0,35,,,21,,,,48,,,68,,,,,,50,
,,92,,44,,,,91,,,,,,,,30,29,,37,62,19,72,8,38,,,,2,,,52,,97,75,77,,16,,,,80,15,,,72,78,,,16,73,,,53,43,,,8,,,,,,,,18,94,,36,,,63,97,29,77,43,85,91,,92,91,,,,,37,65,20,,86,96,,79,92,,,,75,99,43,,,70,3,,,,44,28,44,,36,,54,,69,23,,34,39,,72,43,,,74,,34,,,,,,36,,,,15,61,,,,5,3,,18,14,81,39,,,51,,26,,,36,78,,,,30,92,,,,,,72,16,55,,,,42,0,43,,46,,,9,,48,,96,8,67,63,82,,70,,64,66,25,,8,,
,35,47,,,,18,59,,16,54,,,57,,2,26,,,67,96,,45,89,,,71,,45,,,54,8,,24,22,,,0,31,39,15,,,,,,62,31,,,2,79,70,,61,,,,37,96,,13,67,,70,,89,,97,52,64,,,,,80,21,,79,45,,,33,27,66,,85,,,,92,,,,,,,,,,46,99,33,,64,32,32,1,,14,85,,,,95,,,75,3,,40,,,,78,64,,,,34,,,,32,,,,81,23,,,25,,,,,,20,,,,57,,45,65,4,,78,55,35,,,73,,63,,43,87,,,,1,79,,76,15,1,,,2,96,,,,9,29,28,45,43,66,,,,,,58,54,,
19,,51,0,,50,54,8,9,86,64,,,,3,62,81,0,40,,,,72,38,,23,36,,,91,34,,2,72,37,,,6,93,,,,,33,,,96,1,,2,,97,90,,35,,,80,5,34,32,,92,0,,,,22,61,85,,,,,48,75,15,64,,,,,78,,,,29,,,,88,33,30,44,,,,88,23,71,,,56,51,24,56,,,13,73,55,56,,57,14,,39,50,,66,,66,,,,6,,21,46,,66,,,93,80,36,40,,,64,,35,,44,,,7,,,90,86,,11,,,,,,69,75,55,65,11,,,,93,,,,,,29,,,21,,87,16,,58,72,,,76,20,,20,19,16,,,,42,42,,90,,72,
1,40,82,59,37,92,76,71,9,,,,65,,8,,74,,69,,,,,60,,28,78,,,67,21,7,,,97,25,,22,,,,,19,66,39,,,,31,18,,,13,78,,,,,,,,82,19,61,68,,33,,,,,,,,30,,9,,26,28,,79,,39,17,45,70,,33,99,,,37,7,,37,,14,17,,70,26,66,,88,,,,,,65,,,94,,48,6,,29,34,,,,,12,14,43,41,,,47,,,47,88,,48,,,71,,,73,,1,12,52,,25,,71,97,49,49,38,88,,74,30,,,13,46,,,61,46,48,8,74,35,0,,71,,63,85,53,,,,,97,,,,99,39,,40,,4,,,,88,,,14,
,,,,,18,6,61,,,,,,19,54,,86,66,,78,,63,73,,54,90,21,,16,35,,97,62,,,37,,83,,,,,36,10,52,,22,,,11,39,37,55,22,,43,,,10,74,,,,98,2,78,39,10,75,,,,,58,,,,30,,73,43,26,,,,,50,93,,,14,42,,59,47,83,68,32,43,,55,50,6,,79,,67,50,,,,,50,8,89,47,8,4,15,60,45,,,,54,54,49,53,80,,36,,,46,,,16,4,4,,,3,92,,26,43,,15,94,,,,,,36,,29,83,34,97,5,,92,,43,,,,,,3,,,62,71,50,83,90,98,64,,25,48,23,85,66,,,33,,,90,,62,,60,,52,67,
88,,29,3,,44,,,15,,,39,,57,66,30,49,,19,,,,,83,66,60,50,,,78,,,,,,,79,6,80,59,,86,,,7,,20,,,0,36,74,,62,30,,4,,,3,1,52,93,47,61,41,,,,,50,6,,,,,,88,90,18,27,78,,98,20,69,,,9,71,,,,,36,77,46,81,,92,,78,,38,24,,75,12,,,,,,56,,5,35,85,93,,23,3,10,,67,48,77,71,,30,44,35,49,86,49,69,7,,,3,,6,18,,82,21,10,,,53,,,,,,,,,,38,52,,,11,10,,65,,,,33,,,,,7,7,5,,59,,57,63,91,,99,,,1,39,,,,40,,,,,36,
32,,,,,95,70,14,,,,,47,,42,16,94,75,59,,56,,,,85,37,,88,,,,,47,,21,61,,77,,,57,11,24,,,,98,60,37,,,,,,12,,,,53,68,,,32,,,,,,80,50,,4,10,,,,52,,,,97,29,48,,,89,,26,58,59,,,,30,,39,46,,84,77,,93,,52,20,0,,,,52,,,27,,,97,13,34,48,31,,97,25,,64,,72,,53,76,23,86,0,,41,,,83,,8,29,27,5,34,,58,,,62,,,21,16,,,67,3,16,28,89,95,68,30,37,78,,,,6,,,80,14,54,,9,69,70,,31,,,28,2,,,0,95,,,36,75,,,,,,31,70,54
,,,7,,,24,38,,93,93,76,,16,,32,99,24,2,,93,98,,94,88,,59,42,,,97,38,23,,,,,,,28,58,,,89,,,,34,86,89,47,,,,0,54,15,4,57,,68,34,45,,7,17,75,,81,,23,2,,,92,2,29,,62,,,,,,,,,88,91,45,95,97,,65,0,,,,,,,,86,,,49,,40,26,62,79,19,30,,,,,38,,,23,,,74,71,,,31,92,71,,,,,45,4,40,,,,16,91,,7,,,7,94,95,,,,,77,83,,18,45,86,60,,37,,,,,,,5,,66,,71,7,,,,67,,,4,,,,99,98,,54,83,75,33,9,27,2,,41,84,0,50,4
