300
33,32,,,45,62,,,,26,95,,,,,87,,35,,,64,62,,16,,20,58,95,,,,11,54,,,4,,97,49,,93,94,40,49,58,44,,,,35,,,85,,,,15,91,22,15,50,,44,,,,,,,48,68,90,,88,62,,99,,25,62,,,10,,,28,,,75,,25,84,82,90,,,38,13,62,64,,1,,43,,24,62,,16,,78,54,77,58,,9,2,71,79,62,46,,,67,66,,,1,,,58,71,21,67,35,,48,92,,93,,,,,57,9,,,,,,,,34,,82,,,12,,47,9,,,,19,98,61,,80,90,,7,97,,96,,17,,0,,,14,,,86,58,75,,90,,56,23,14,91,90,,76,39,15,,60,77,47,,79,71,,78,59,37,,8,25,,23,,57,,29,,,,33,,,54,,54,,69,,,4,,,,16,,,,11,26,97,92,,,98,55,73,,11,,,91,19,22,85,,,81,1,5,,47,12,,85,82,,78,,,,4,71,,,88,,34,47,79,12,,,44,96,37,,31,,98,57,,,,41,73,
17,,13,,95,,,88,67,,45,55,,,65,86,,64,57,63,69,85,,20,45,71,66,,,,,57,91,12,3,57,56,,38,,22,6,,79,48,44,,5,,38,,,,92,70,,,30,46,,,,,29,69,,,10,,,,85,,62,,,,,16,,,64,57,4,73,,7,58,48,17,,95,96,22,,,,19,10,72,,,,36,62,,7,,,,,,,,24,,,,27,,,47,29,,7,,,89,67,,,38,6,37,,88,,50,,,15,,,,,50,57,5,28,70,,71,,,,93,69,,,,63,,,35,14,,,21,59,43,54,,,,,,,23,,,,41,,,33,,7,,,,,98,,,,,,73,76,,50,,,,,85,28,,88,27,85,19,,,,,98,36,,,11,15,,,41,,24,,,,77,,,23,,32,98,,88,46,,,65,41,,27,54,,25,,49,,37,,,,11,97,47,16,,,29,55,7,,,51,,,87,69,89,,23,,,80,10,,,80,15,23,,36,,24,86,,54,56,,4,,,,,47,
54,68,,,,2,,83,,,,75,,,,,,,56,,37,,,,80,60,,,23,16,,,,,30,64,68,,46,2,42,,,,,76,6,,,45,76,,99,,53,,,,,,,37,96,,12,41,58,,,10,,27,,,,,25,,82,78,,79,,,,81,,58,94,30,0,,,,,,37,10,6,97,,31,32,,,89,,67,90,59,64,1,47,49,72,,,33,,,44,,,30,56,8,,,,,8,,47,,52,8,,64,71,95,64,,,,,52,18,,,64,,15,90,17,81,,,22,,53,83,95,,18,45,,,,,93,48,40,,76,,2,,23,10,,27,39,43,92,,19,,,,,69,71,7,,6,94,,,,,,,20,96,,87,73,,13,,44,71,65,,,,53,,,42,,85,,49,53,,,32,71,,39,18,73,27,44,,,,89,,,50,,51,35,,59,15,2,,44,58,,,,,17,31,29,,,,,90,,,,,41,88,,90,,,,35,99,41,77,77,20,77,,33,,,28,38,,99,,63,,,5,,84,,14,
29,95,,,,64,,,,56,,57,38,,,98,86,0,,76,,,,63,,,,,7,30,15,,38,33,,,,,,,,78,10,47,44,57,,37,61,,55,,,,,,,,3,,,38,70,84,74,,87,,86,56,86,17,80,21,,,,,18,,,86,55,79,11,,,,,,90,,78,,,,,1,49,57,88,96,67,52,,27,3,,66,56,68,,20,77,7,,94,54,57,13,81,11,84,4,10,,,,,,,,,57,18,36,,96,2,81,21,,28,59,,53,89,,,38,,,55,16,,94,72,,,22,71,,36,,0,97,50,,10,76,,,,86,43,,,,45,49,,,26,,69,,97,,55,23,70,,67,22,,56,40,96,58,91,65,,60,,83,,,78,,80,23,,,50,12,81,97,,20,,,,,,,52,20,,95,,57,23,,33,,40,94,97,11,,53,81,97,,24,60,,,,94,38,56,,7,,,,27,72,,,8,,24,,45,,,,87,,23,41,15,13,89,1,50,,36,,,27,,90,,47,,78,,89,,,32,,86,,62,29,
,,89,,,65,43,89,1,,,,,,96,,5,,,,12,,60,2,24,,55,49,12,96,,37,,,,63,,20,,40,,63,,34,,,,79,71,48,,,24,67,15,66,75,,70,97,,61,,,,95,,,13,,,,77,,,,65,34,3,17,7,,,,66,88,,18,58,21,,,44,,7,,17,,54,69,,,,,63,59,,,99,7,,,11,6,,,,,6,35,52,40,80,,55,,,,,,,41,,90,,34,,,55,57,,64,82,69,,42,,39,58,38,78,55,,87,,,63,,,,52,67,3,,,95,,62,53,14,,,88,,34,,,,65,60,83,34,,2,29,,,52,,,,,53,,48,67,97,,,36,56,12,,,,93,65,,34,,55,19,85,,,,20,12,53,,25,,56,84,66,11,76,33,,,11,51,,,20,,,,7,,37,,34,74,56,99,64,,93,,,,83,2,,29,,,91,66,,,14,,97,35,99,,,61,42,,,,,48,,,8,,34,,17,26,,38,28,,,58,48,43,57,,,3,,,,
19,56,,,,43,98,94,44,,,18,94,,,71,33,5,,,,,,64,57,,75,73,,45,17,8,,,,13,99,90,,15,36,,99,,82,,4,,,,,,,,,,,57,65,75,,,,,99,13,,65,,,22,42,,61,,,,76,,36,19,,,,37,,,,,,,,7,,15,,4,,,58,,0,92,,57,,,71,81,68,14,,,73,99,,2,20,2,68,38,10,61,74,,,,,66,33,13,,44,,,36,,85,,,,13,,,,77,,28,46,92,49,,54,59,93,15,,67,,,,5,89,64,,,,,,71,,,45,,,,,87,,,57,,85,79,50,18,,47,22,,5,76,18,,,93,,,,,16,66,17,37,18,,,,91,61,30,,89,,,,22,,93,43,53,19,,,55,,15,84,82,7,86,28,,6,,,86,84,,37,79,73,36,,12,12,80,55,81,,25,,,,,,,,,,41,73,,49,39,37,,51,2,,28,83,42,,,,21,,,,,,,,57,,67,23,58,12,,82,22,,,70,36,57,16,42
84,,34,43,,,84,21,,,90,10,,,,,2,,,,,,22,13,96,7,,,61,13,1,,,,22,,,,,,4,,10,,98,99,73,,98,96,54,44,,64,,,,,73,,58,41,57,,86,95,71,5,,13,,95,,,38,81,24,,3,,51,,,,68,,4,49,44,,61,,78,73,42,,,,,15,71,55,,29,22,,,93,40,,,29,,,85,22,79,52,3,52,,84,,36,,57,52,,44,,24,56,,,7,,,,,49,16,38,29,18,,99,16,87,21,97,69,,78,,65,,93,,75,91,,83,,89,,,,46,,88,59,,81,,14,24,,91,21,,44,,,,68,,58,4,37,3,,89,71,,,64,,,,,31,,,19,,68,,,78,77,91,,,20,33,11,76,,,,,,,41,,,65,,,,92,,,73,,,88,,,75,,50,31,60,,56,4,38,,85,,,,34,,,,36,,,,,60,30,,,27,37,,,76,74,35,,,,,,,,2,,88,94,,3,,,83,,,,0,50,,17,88,,22,30
62,90,,,7,,,81,,74,,,88,11,,,43,20,,72,,65,84,34,52,85,87,60,31,,57,,4,,87,,,,,,,59,,80,16,40,32,,,89,,,,83,,9,,58,8,29,,,55,,76,61,,,,,,,,,5,,,49,51,,8,,49,20,61,,3,,31,11,,50,46,,89,,81,52,,,,38,,92,4,,,,28,52,26,,,0,,,60,,,43,49,20,39,,86,48,64,53,,23,7,,9,66,,,69,75,,30,,,,,96,,13,,,90,,,74,,10,,,66,,,,45,,,46,,,,,51,,,44,43,,10,,,,,45,77,,,,41,28,30,19,,60,7,,24,2,81,84,29,,,76,91,72,89,51,86,86,,,,22,,7,24,90,,,78,,9,,,,,65,83,95,61,8,18,26,,60,,,63,,34,41,,,,,,48,96,24,99,86,68,,,45,8,,97,89,39,74,48,35,,1,,95,,73,,99,96,1,3,32,,,14,,65,,4,,,70,,23,22,,51,,,,72,,50,,,,32,11,
88,,53,86,21,71,37,75,,44,13,,63,41,66,,14,,,,,,66,12,71,,40,78,53,,13,,9,,43,,,99,60,77,,,53,,,91,,89,,,59,,85,,39,,,,,,,,3,32,80,22,38,63,83,91,62,60,,,34,,82,3,51,29,,19,50,,40,95,,,70,95,,,93,37,,70,12,22,13,,70,,12,,1,,78,12,,,10,90,80,19,0,73,,,,41,5,,58,75,55,,39,,36,,75,,71,,,22,21,,,39,,77,,72,,,,,91,30,62,4,3,77,,45,47,39,,,,,,,69,,,31,,,9,7,,4,7,68,68,,69,,,64,43,41,58,,15,,,,65,,,99,91,37,,,,47,,61,93,78,,8,42,,,,,75,0,,,6,,67,9,,26,,,97,,,23,,,79,58,,88,60,16,75,62,38,,,1,,49,,29,83,,29,,49,,26,19,,36,,,,87,24,0,43,29,33,,88,,77,,,,15,,2,,55,90,83,77,22,11,43,18,,29,10,,,,17,15,,9,,29,12,,,10,
,45,98,64,66,69,,,,,94,,,,25,83,28,,,79,40,97,67,17,17,8,46,,,,,,35,43,37,42,84,72,,,,15,,,71,,34,22,20,,,81,92,65,50,36,6,35,,35,25,84,,48,93,69,,,,,,,3,25,10,,92,,5,,,11,21,,28,39,11,,,16,16,40,89,,,9,,46,67,,38,,49,,,,,,47,28,17,,,86,,76,85,20,,25,50,36,88,58,,,6,,92,16,,50,6,,,,71,53,,,,,,,,,,,23,35,,,,66,75,14,20,,20,,,,,28,,,,70,50,,,,,32,64,,,,17,8,,,,26,50,,31,,34,38,,,,55,51,,,,65,23,63,,89,,80,,,,57,,,15,73,,,,16,,6,,31,55,23,,89,45,97,95,87,49,,,28,,52,,82,,,26,,,78,,71,,15,,64,,,,,,,61,99,34,,,,45,,,,,9,,,52,,33,,37,67,53,96,,18,65,,,7,45,,38,,,46,,67,90,,,88,66,,3,,
