500
,,,35,,,,38,80,70,59,,,,43,21,16,,,,41,,77,18,,12,,,,,24,,,,52,94,,,93,,,,21,9,,90,,28,40,37,,,,29,89,77,,,,86,95,81,53,,,20,28,,,,,,60,44,13,,,2,49,6,,60,,29,,,,11,42,48,,,1,69,60,5,30,,,,,8,,27,,82,16,,,20,25,16,,71,84,,,,29,53,,13,24,45,,,22,50,,94,,,57,,,33,23,,,,,,15,91,59,20,83,5,,,38,,,,70,45,64,,,70,,86,81,,84,,,33,,,,,,,17,75,,20,40,77,53,85,,20,21,,62,81,,,93,58,,,,,,,57,49,98,66,41,,,98,,,,,10,,,34,79,,11,,45,,,,,,56,47,85,3,,,,,75,15,,,,,88,68,22,64,,,25,,80,,,64,,,,,41,,93,,75,,67,93,23,90,3,76,,29,9,,17,,,43,,81,36,,30,99,,47,,,,,57,,79,59,15,,,,95,14,,,9,89,98,,,,87,8,,,80,,,,,,,66,,91,78,16,,74,,67,,29,78,87,,58,,94,93,,44,80,,23,93,,,39,,46,,,6,,,,,,,,,40,,,76,25,,,,52,86,,,31,,,,67,,,,39,,,,69,44,,58,,79,81,,41,13,20,,,11,,,86,,,83,,,,,57,86,47,15,,,98,,18,96,,,78,,,,32,,1,,,,,28,,,66,19,,,3,38,50,,41,60,75,,57,,18,68,0,,21,,13,31,98,,,,,9,80,,46,,24,35,11,,,80,47,99,83,40,36,46,3,,38,92,35,,34,50,,,,,,26,,,62,,12,41,51,92,62,40,,,
55,28,,2,,,,,,78,,59,,1,1,,,7,,66,,,,37,,58,65,81,29,27,,,,8,,,,,17,9,,44,59,42,61,,85,73,17,,72,,,,,,61,82,21,52,16,,,,,,21,,30,,,,,,,30,21,,,,52,,12,,34,35,,,59,,,,,26,31,62,40,,45,87,16,,54,,,,87,23,87,,,,64,,,,,43,22,,,5,,71,24,96,,,19,74,82,0,,,,37,86,,71,37,88,85,70,72,,,,86,,,72,,10,,22,,,,25,5,,,7,96,,64,,,,53,,,17,85,62,,35,29,85,77,,93,60,26,45,,,34,,4,,16,37,76,52,83,,67,,,30,,,,,,,,,,,94,34,,96,,52,,,,36,32,44,77,,,26,14,75,,,,,78,,25,,3,,,11,,44,94,71,18,,,,47,,8,96,23,60,81,78,,33,,59,65,,,,49,,55,,,,8,,9,11,72,64,,,38,2,,25,64,,51,78,58,,79,,93,,,,,60,,,,68,,,,0,,65,17,,,,,,,,7,,96,,56,,95,,,59,81,,35,,,,,,,85,1,11,,5,49,,,,,67,66,93,42,98,,6,,,,45,,10,6,24,,,,,,96,,75,75,33,,97,26,38,16,82,27,,,46,56,,42,,,14,,,77,,,,,22,,20,,72,84,52,,,,,,,,,69,,60,36,,54,42,,,2,,,45,0,81,86,,,,28,73,53,,,42,1,10,,60,51,61,,,,69,13,53,83,60,,,,8,,,95,,68,,16,59,,84,,,,,33,92,,,,,,,21,,,25,48,66,58,9,,,63,65,,,48,32,,,83,98,9,39,,,62,54,,43
11,88,,,91,,,,,,18,,57,,,,50,,97,,,,,85,,22,,69,35,,66,42,94,,,32,,49,,50,,,97,44,,,70,,,16,44,,97,,,,,85,,,,,,65,,,57,85,95,39,,56,,44,81,,97,71,,79,59,,96,,13,,90,85,29,71,,98,82,56,94,,89,,,,,,,,54,,,9,12,,19,97,4,98,70,27,47,95,,0,14,83,,,61,9,,21,35,36,82,,,62,,,,8,,,,,54,,31,,74,39,,,28,62,95,,98,,,,84,,50,,35,,,29,18,83,,,13,18,82,,,48,,51,49,52,,26,,23,,55,,39,,44,,97,98,66,83,42,56,65,53,20,,,,28,,84,69,,71,,,,,87,,,,,,99,51,65,56,,,,95,32,,44,,32,25,,83,8,65,0,10,36,,,2,,14,67,40,,68,92,80,76,,45,,54,,43,40,41,,,,,,,9,49,,,62,58,,,29,21,,34,90,33,80,23,7,,37,5,28,,,65,43,75,73,41,80,,,40,20,84,,,,,,,,,,,8,,,,48,,,,,,,85,66,60,89,31,,77,,68,,65,36,,0,27,,0,,35,,47,85,,13,,,39,44,,37,,,68,,29,64,,28,32,15,47,7,20,86,7,,,49,63,,,1,43,,70,71,4,91,34,,51,,60,74,83,73,7,,2,,0,,57,,,,14,43,,,,38,,,,,79,,,50,,,44,98,83,74,98,18,,,12,53,82,,60,,,43,31,,,32,22,49,62,,,31,,46,75,32,,,,,16,30,,13,,,,,,,,0,64,76,,,10,,,,,,,,,,,,17,,30,,66,14,95,,93,,1,,15,81,94,,,41,,,22,,30,,
,,,,95,97,76,89,39,66,5,29,60,35,,47,59,,64,42,30,92,36,33,,,17,,,79,4,65,20,,8,68,69,77,,,47,35,80,33,,,,22,87,49,30,,87,91,44,29,2,57,33,,,24,,19,92,32,6,84,,84,,,,27,,36,,,,12,19,42,37,47,,,,86,,,91,,35,62,60,,27,,28,26,20,58,,86,37,45,,12,,,9,,,,9,,59,,31,,,36,,,67,78,76,64,87,,70,21,17,,63,4,,,43,49,,74,59,,,98,,85,76,,88,,78,,91,,92,,,52,95,,51,,,,25,20,75,,,84,,12,,,,27,75,99,,99,51,40,37,96,,50,78,,,74,,,,,,,84,,,27,84,,,,,24,,59,,,,,31,,,88,,5,,,,87,,,1,,39,,,,,0,,90,83,80,58,,,13,,,40,,,37,16,,24,,15,43,,71,88,29,39,,75,,,80,40,28,,66,,10,,,49,,,28,,,10,,81,,,,58,,,71,,,15,,,,0,,80,23,45,38,,72,,,27,,3,70,,,,,66,,,1,66,,53,51,99,75,44,76,12,28,65,18,74,,,,,3,56,,,91,,44,,,90,97,,2,,,,30,,,51,57,50,90,,,90,,,37,,93,48,97,47,,,,11,,5,92,10,73,,6,,,52,28,71,,40,,4,29,76,82,51,81,59,,,5,78,,95,19,3,,40,,21,,,,,79,,31,84,30,6,,,70,82,,,,,6,25,97,,86,,,,,,,68,85,11,77,97,,,,9,,,,,,45,0,,79,,,50,12,,77,32,37,,,60,,42,,32,62,,61,,8,,,,,97,,,84,,,,,,,,95,,90,57,17,,,54,,30,,75,0
,,59,,62,32,,10,,4,,,46,,,6,,,,,13,,49,,29,,,43,,,72,,,,,40,6,,,,50,62,77,,29,,21,,19,76,,2,29,73,89,33,,33,,63,58,54,,71,,6,,,,12,,,,,97,34,,37,,,0,,19,,,,,75,,,,11,15,,,36,73,95,38,,,,81,59,,7,,,,,40,77,,,,89,8,,83,90,31,39,79,,90,,,49,,65,,38,,,73,,26,73,,,58,,,,,,13,15,,83,,31,,,25,,91,86,53,59,27,,50,,,,,,17,30,,,60,,,,,,91,,52,,,,86,,,49,35,,41,,,,,,38,,70,,11,,,,2,61,83,,87,5,49,2,,58,,27,6,49,26,,55,,,,38,61,,,,,,34,94,62,17,,25,,,46,17,,70,61,9,,34,,30,,14,,,25,,93,90,62,,78,20,33,,53,45,47,95,,,,,,,,,15,78,4,,,,,7,19,,75,95,,,32,28,,7,32,90,,,57,,,89,,64,,,50,,,11,86,46,3,,18,,6,61,,17,,76,85,,,96,18,20,,22,17,31,,,66,,,,,,,51,76,87,37,39,55,,,,79,,,59,,,,,33,70,,,,78,65,82,,46,,98,,85,47,21,90,,,,,,,,,72,51,,33,,15,65,,,79,,80,,50,,,,,,,65,72,,91,,84,4,23,54,58,,,80,43,,,79,,,,59,,65,67,,35,,0,,,,32,,14,26,91,,89,,,64,,,,92,,,,,,,,,,,63,53,51,,,,,76,62,,,,27,,,,82,53,64,88,73,85,,,80,,,,,,,,,,89,,86,,63,68,,9,4
,,11,49,44,,63,,,,,6,34,52,,,89,,39,,12,9,,36,,20,,58,,,,70,,91,26,,,3,,37,81,,16,,,,,98,23,90,,1,55,84,,65,,,29,80,,16,20,46,,6,,28,84,35,,,90,,,54,10,,25,,19,,,,25,55,,,,46,,,19,,,,,37,79,,64,23,84,42,75,54,3,21,,,78,94,20,60,4,42,,11,,,,,,15,48,45,25,,,,90,97,,,,17,46,26,98,98,38,,38,,,,,82,,,39,98,,74,,7,22,63,88,,,40,,53,81,69,3,22,,61,93,,,20,,,10,,98,95,,61,7,95,60,,,54,,,36,,32,,68,,20,,,6,,38,,,,81,35,28,63,35,,,91,56,,,,,,,,27,,,,3,60,,,35,47,,,81,,,95,,,57,10,,65,,,2,,78,77,51,73,12,,58,85,,26,97,89,,,1,,,39,94,73,94,50,,,62,,7,,22,,,12,67,43,,,53,38,44,,94,,1,19,9,69,,96,50,,5,,92,37,88,74,90,95,,,,25,,42,72,66,33,52,39,19,30,45,,54,,,91,,,93,94,,20,65,35,71,,3,,,,84,,,,,25,,,29,87,,56,,,,98,,,88,80,,67,,76,,,85,,47,,71,,,94,,,96,51,,99,,,,81,33,,11,94,37,96,,,3,,,73,,11,,59,,41,60,12,,,,,,,74,48,48,,,,,,,,54,,,,2,80,,28,,,,29,32,,11,87,,30,98,,,57,,,,,,,,,,,,71,,50,61,,,,76,,53,46,23,,92,,1,,62,,,53,,94,74,10,45,40,48,,,,,,82,,77,,13,10,,,,63,25,74,,10,10,
69,64,55,,,,55,84,,,,,66,98,,14,,3,58,62,,,56,,,,95,45,9,,80,,,20,,69,99,66,88,90,33,54,42,86,23,,,41,,,,,86,,25,64,64,,,,,82,34,14,92,,45,84,11,,38,,,,,,97,84,,,,78,,,,64,20,,,,38,9,,4,,,,,,,2,,25,7,83,,,,25,,,95,18,95,,,,82,,12,,90,,21,,72,,24,,48,,,51,,25,15,,,9,60,,25,90,,,,31,,,12,,39,,12,64,63,,5,95,5,63,,,,,,,42,,53,,,47,58,,84,,,,,,,26,6,99,,87,77,9,12,,1,28,96,,,,,,,,,,,,,,94,,,48,,98,80,9,31,,,,90,,,,,97,,99,,,31,21,,,79,35,64,86,60,21,89,8,,44,59,22,,,2,,3,82,,,66,,70,84,39,,91,21,,53,,,64,,55,15,70,,67,66,,6,72,,96,35,13,,,93,,,,,86,10,75,72,18,,,,,,98,,4,38,,,,21,29,39,,,,,,54,,32,,21,2,,,71,,,2,10,,96,,,,,62,1,,,,62,,13,,56,,,,18,,,92,6,30,,,89,,13,26,,61,,69,22,83,,86,98,,13,32,,,49,80,,14,92,,,,69,6,,,27,73,81,,81,6,,,41,,,,,,69,71,,,28,17,,32,95,45,57,6,50,,93,2,51,70,,,38,8,,62,33,84,,7,18,,36,,22,,,5,,,,,46,22,18,,,42,76,,,93,41,,34,,26,62,86,45,47,65,65,,44,,20,73,,,70,24,9,,26,42,,,49,,,,61,92,,,,96,66,,20,,15,79,,,,54,24,49,,,12,,1,
9,,,88,79,81,,76,,43,60,,27,,,,94,,85,80,28,33,12,61,12,40,58,98,27,76,66,,94,,,,,,,82,,11,,61,,,,,,,,0,,49,95,,70,,77,,34,69,7,,56,15,28,,,10,,1,,68,,77,48,,,37,95,20,4,,15,84,,75,,,,53,,,,56,83,,,11,66,,20,,95,81,,91,,,61,,69,82,,,78,85,48,,,,51,74,18,,,,17,43,58,,75,,,,,,12,,45,,46,58,63,79,,17,74,68,96,63,,24,,85,,50,65,,,33,2,,,59,,,,,71,62,,,,,,49,,,29,81,19,,12,,65,44,,31,,98,67,50,,,17,,75,92,93,25,45,,,39,81,,,,41,29,,86,,79,12,,,21,,,72,,37,44,88,,,34,,34,19,60,,63,99,88,3,14,7,,88,,76,,,50,67,,,30,,44,65,86,87,15,46,32,,,87,54,,,,33,,24,84,56,,,71,,74,,,,20,,76,49,,,,24,,15,68,21,72,,,70,,,18,,34,,38,96,13,15,,35,11,51,,86,61,,58,,,96,,64,,15,97,20,61,62,,,84,,23,,46,26,,66,9,,,,28,50,25,82,41,,0,3,47,,72,95,52,,91,31,6,8,22,58,,,,,84,,,54,,71,85,67,28,,,3,30,,,,41,67,87,,,18,81,,88,87,73,4,35,7,53,77,,,45,59,96,,,12,,,,,43,1,,84,16,61,,72,,,,39,20,,20,,,,,,,,16,,,88,,,21,,11,27,,95,,,76,82,20,,96,33,,78,,,,,38,,44,,7,,73,88,21,51,37,,,,81,16,85,,,17,7,,,,,,35,,,,,5,,77,,1,50,31,5,76,,37,,
84,,10,97,34,,,88,,58,30,,,,88,,46,,,70,,16,,19,42,92,41,78,11,,47,93,57,,,6,73,53,,,43,33,43,,50,42,1,60,64,82,57,13,,21,11,12,,,,,,24,96,,,,,,63,,,,,,,10,19,,84,,,94,,,,83,,,80,,57,82,80,80,,15,,,39,91,16,,,,47,,75,30,73,,,93,1,,,,1,,45,93,,69,,,,18,,,,44,,,,95,,15,,80,62,88,,65,,61,73,,,,,,66,55,31,,61,,57,38,87,,,61,,10,,,,,23,,67,,9,71,,,,,81,,,,,61,18,,53,,,87,46,,12,67,53,30,58,,41,,41,,,,83,79,8,85,,89,,,95,82,,,,84,,70,,,,,31,8,21,,38,,,,96,,,,10,40,,,82,62,,,24,,69,,7,84,,,81,84,14,,,56,39,,,,,55,4,,,58,72,82,,75,,64,,,,,,,9,,6,20,,32,,45,4,25,63,83,,4,,63,54,0,31,,,70,10,24,,10,,79,,,21,,66,,,,64,,,,,,37,,27,35,59,24,99,22,0,,,67,,,,73,33,,22,48,,,3,,60,,,,,10,2,,,,26,9,35,40,,,45,65,84,,,,4,,,,,37,56,73,,,,87,57,79,66,,,,25,31,63,14,,,85,28,25,,92,31,70,66,,,,74,72,17,62,41,19,,7,24,2,,,,36,,,,,80,90,13,,20,78,,31,85,16,,,,82,91,25,17,,,0,95,89,0,7,60,,16,,,93,35,,81,2,9,,62,,57,53,,72,,,,70,4,,98,,2,8,71,62,,64,,57,32,,65,92,,64,91,,6,,95,,,99,,30,93,73,,,
79,62,85,,,,45,,80,,55,14,74,,86,,42,62,,75,,,49,73,46,,,,,,44,78,,84,76,11,,,,95,31,67,,18,,26,,93,88,,,83,72,,,5,23,78,,,3,43,,,,,,67,,,,37,72,37,23,98,,,,,71,49,95,45,70,,70,,,,11,23,,61,10,,,,13,41,,,,3,,,61,36,32,,,,71,,,5,88,,13,,83,,,,12,,,68,53,,,44,,,,83,,30,,61,,14,63,1,,,,,42,1,66,,,24,78,51,,,,,,24,,94,,74,,90,,,61,,43,64,,,36,,84,,,,,42,73,,1,74,91,17,,5,22,79,,,82,,,83,,,74,,,,,45,98,15,,15,,,27,64,91,20,56,,7,36,16,,73,63,,92,,22,95,34,76,,25,,,84,,,,,,25,,71,,,,,,,,,31,,,,66,67,88,38,8,,6,,9,5,,76,,46,6,,20,93,,,77,,61,64,,,85,25,,98,58,,,,,63,,69,25,,,37,,75,,,62,,14,,,,71,58,30,87,,,,42,55,,,,,87,74,23,,38,41,,10,63,,8,,,9,,,93,75,,41,,,95,,,,89,52,92,11,95,,14,77,60,,,,,,45,55,,31,,,,62,,,83,74,57,15,,,,88,,36,31,,49,,75,19,0,,75,63,95,44,,68,47,66,,72,,74,31,,,98,,54,28,,,,,10,,12,39,,20,,,,,,,9,,,,70,,84,,73,,,,,,,10,53,76,76,42,46,,16,,,,63,,,35,26,93,,,46,12,44,,,,,2,,83,85,,,75,,14,98,,26,,22,90,72,67,,,36,2,,,22,,3,,,10,,,82,
56,68,,40,2,25,53,1,,86,75,,,39,,20,81,,74,30,,0,21,62,18,,,,,,98,41,68,22,50,,,30,36,41,,72,16,,99,,,64,49,89,,,,,35,40,,,21,27,81,,,,33,,10,,7,,,,,,98,,,,6,98,19,71,,,,84,,,84,,,94,,,53,,94,,41,,70,55,,,,36,,,,,13,50,19,,75,,,49,,,7,33,79,,36,,22,,38,29,57,52,93,,,,0,,6,,75,,39,,80,59,,,,,,81,,63,62,89,,34,81,,85,,,10,33,93,9,,83,94,,,71,72,,,,23,,,19,,77,82,84,,68,50,90,,,,,40,,19,,8,96,73,,27,31,32,,,,62,57,47,,47,,,,,,97,15,,16,,15,,6,74,,84,74,,17,11,,1,,,44,21,,70,,,,,,,37,7,,,99,,,,64,,,63,,,,,,2,77,,,,72,10,81,74,2,19,90,,,62,,96,67,64,,79,48,,34,,89,43,95,,,80,,,,,35,66,,18,,36,92,23,48,4,50,51,,,,17,47,97,,,9,,82,,,6,42,78,78,82,,91,,63,67,,,,58,24,,,6,,25,31,,90,92,59,93,89,83,38,,,27,4,,,,56,94,,,,,28,,50,,,,,,,83,50,,,89,15,,45,,24,81,,51,52,25,69,55,37,,50,99,51,9,,26,77,,,,56,41,,,,35,,,47,30,37,55,,50,,78,,20,18,48,1,,24,50,,,,,,6,26,,93,81,,65,,,96,,,,80,,,,,12,20,85,50,,98,,4,96,,,44,55,,,40,70,,,,73,,,,90,,9,79,8,,,,48,74,,26,,54,75,,,,,41,,,34,,85,
