600
26,49,44,,42,,,,,32,26,16,,,,,,,,,,3,,72,54,,,32,37,91,65,75,,38,,,93,31,79,48,21,,5,92,,,25,,,45,,,,,,32,,,,49,74,18,1,24,28,70,80,3,86,85,32,3,,,,26,91,87,14,,28,50,44,,40,35,,61,,65,,,10,,,70,,5,,35,11,33,,54,56,,,,57,31,,68,,,6,54,,75,61,,7,,,27,,,77,38,51,57,,,,,55,95,25,,28,31,,,,33,94,99,62,28,,,,92,4,,0,1,,,,,37,71,,56,21,,17,,49,,91,,,,,,,99,5,,,60,18,,,,,,,33,97,,8,,5,,78,97,36,,66,52,39,,,38,8,,,88,7,50,51,,,64,,,46,,39,39,,,,,27,,,47,,32,,,43,90,,,,,,95,40,,93,58,40,88,95,33,,,53,19,,,26,,,71,49,16,33,60,,,51,55,93,,,,77,,21,86,16,51,36,,41,22,73,30,,,,72,,89,30,20,,8,24,29,27,44,62,94,,,32,,,,38,,,21,,56,79,,35,19,,69,42,47,,58,77,,,44,,69,80,57,55,,,,6,,48,,14,29,,,41,36,58,,75,36,,14,,27,,,,28,14,,85,,,,,,79,68,,,,,,95,,87,,3,60,59,19,99,46,,,2,,51,76,8,,,57,,24,69,,48,,90,,15,7,,73,2,,,,,,89,,76,49,62,,34,81,4,,65,22,25,,84,,29,,,,91,,99,30,,30,38,51,44,89,,65,75,,,,0,5,,,,53,74,70,,83,46,,,82,,,,,,10,53,2,,,,,47,,,2,52,68,,94,,43,27,52,,,,,71,,65,,35,77,34,53,11,,27,,,,,,,,,,,,,,76,79,6,46,82,58,,,,,79,11,,,,8,,,63,,46,52,,,,7,9,1,,47,,,,2,68,,50,40,,70,,,,38,67,,,,,,,,,3,,83,96,,,,,,,76,10,,15,,8,,75,,,,60,,,75,,54,4,,,,,45,56,,0
,14,,,,4,,51,23,,,63,8,,58,7,,,,70,35,41,8,92,52,,,93,,69,14,,,,,,,,,27,22,41,0,92,30,,,12,68,,15,96,90,85,,33,,68,10,,,,41,,11,,,85,53,46,55,,,31,,,86,,,,,93,94,,,,,44,54,,,,,27,,,35,10,,,,,,74,,,,44,,70,,84,,,14,2,,,,18,2,,73,,,34,7,,14,,,,,,,83,,85,,31,5,,,,,66,76,56,88,68,25,47,3,,,,,,84,,7,,,37,78,40,12,,,56,,21,,,32,,46,92,,41,,23,40,,,53,71,57,,0,44,92,,,59,82,,32,,1,65,,69,,45,27,,,71,,,3,,33,2,18,85,75,42,83,,,7,56,,,,,6,,27,59,79,25,,16,,28,44,51,97,41,,,13,,76,,,73,71,,38,,,61,60,,11,,,,1,51,66,4,,,,26,,,33,24,67,86,,,,29,62,73,,,,,,23,52,73,25,15,,,75,22,52,44,12,,,84,48,,37,,63,,49,46,28,,70,,50,26,,6,85,,,,,,42,,,50,,,56,,,55,,61,94,,,66,35,,,25,,,3,,,30,,,,8,31,,29,16,85,,,,,12,,11,,97,,55,73,,68,,46,,17,9,8,,,,,,,87,,,31,,,99,,56,,,,,,17,,17,,,,91,91,48,0,33,78,,,81,32,,,,72,69,,8,85,77,,18,5,,93,73,97,,72,14,40,,21,,,30,,,17,,,,,,59,,57,1,68,,41,,29,,24,,,25,19,,,,,,,74,,36,,,,56,,43,,,,99,,,72,,86,,,,,,92,82,97,,91,75,,,17,,,21,,80,20,,6,93,,28,,94,,25,42,22,49,19,77,,,,,,34,83,96,9,,,,51,,3,18,,45,,90,,30,,43,,87,28,4,,,75,78,51,68,,45,,,,52,,76,86,,,18,,,,11,8,12,,,,96,33,86,22,72,,79,,67,,,,26,,96,,48,5,,,,,,
,91,63,41,21,,,,,41,50,,73,,9,36,,58,65,,14,,,,,,86,,15,12,,37,19,,,,35,41,42,,,,55,56,6,,6,,92,,,,77,,50,,84,,20,,,51,56,,59,79,,,7,,67,,72,,92,68,98,24,,,,,99,46,66,68,32,90,,85,,,5,,64,,,,,76,,,,,48,,62,,64,,89,,30,,,5,77,12,,82,,,80,2,26,32,,87,,,62,45,,4,,57,,78,98,,,27,,9,53,,51,42,,1,30,,68,5,79,,,,,,86,,,43,,,64,,66,88,,55,,18,75,,,85,,,,,,,11,,7,6,91,,57,12,5,81,64,33,44,85,55,,47,57,57,,,,34,,,,,,,29,,,75,,1,,,,86,,13,62,41,47,,45,,,,,,4,,60,,,28,,,88,,75,,22,69,,85,,57,,,,,25,31,,,,,5,,,,25,38,23,48,,,,33,,,66,,,,,20,,,,83,,9,,31,92,,,,27,28,7,,15,,65,,,60,9,,8,80,21,,,,,,37,,96,,47,63,57,,4,,75,56,,73,,46,,,21,71,,,,,,,,41,,,,,58,99,97,,27,,70,,,25,52,,61,,45,,,,81,,32,,87,45,73,24,58,,,,58,31,35,,76,49,,,,,,,,33,,,59,,,,,83,,37,6,,93,27,47,,,82,,46,3,22,55,,,,,76,,,,10,16,18,,72,,80,,,18,27,61,,25,8,88,,,97,75,91,5,81,,60,,32,48,,56,56,45,89,,66,80,57,77,,,,,,,,,72,76,,,3,,,,3,,20,,64,,69,,,,41,,,,,,42,,,86,44,37,,70,,80,,84,51,,32,65,,,,,,59,89,,,,45,,1,19,13,,95,,,13,,53,41,58,71,,,,0,78,27,65,,97,52,,11,,99,78,46,,55,,,,,,63,,46,,83,,29,,,7,,,,,,51,,24,65,51,,34,,,,,,90,,,,,40,68,96,,65,21,11,24,84,,,
,65,,66,95,5,,,89,70,,30,,96,,46,,60,,,50,,,2,,,,,77,,33,,93,,,,,,20,43,78,,90,57,,2,,22,19,,,50,51,5,85,,,2,,4,,,10,82,,98,,84,,21,85,25,,55,,66,,32,,21,,46,,,13,44,99,,,,,,,,18,,47,,28,,15,,83,,,,,13,,69,,14,,57,11,,,54,,77,12,,,,41,,,,40,41,53,67,,,77,29,97,,27,,9,28,32,,0,,51,,,6,,16,,,,,56,,,,39,75,87,,70,43,,22,99,32,,0,49,68,91,,54,,76,,39,,36,3,53,,,41,72,,,,63,35,,55,69,93,47,,,65,,20,,20,80,35,,99,27,,,,69,,,30,76,75,,,98,,82,19,,,40,93,,,23,,22,92,65,2,92,,,,,,75,,,50,56,,52,89,79,,,,29,32,,,56,64,78,,15,24,9,90,11,,42,31,8,,,,,,32,31,,,,3,14,,,,,65,,58,,,,60,,,32,,70,39,,7,81,,,48,5,10,,,7,,,57,,,,,,,,70,,73,43,6,30,88,12,40,66,85,,,,93,,93,76,,,,,,,,35,85,28,,61,,,,,,,34,,53,,91,90,49,35,,,72,2,47,,,98,,41,77,,0,,,,,38,,,17,,,,,,53,,,63,64,9,,,,79,28,,29,,78,65,53,,72,,1,80,,59,84,,,,,,,76,94,,,,11,4,,,,37,68,,55,,56,49,,9,34,35,90,,27,,,,87,59,1,11,,,79,30,,7,,,,34,,53,47,,89,75,98,,,,71,,64,,,7,7,47,,,70,14,58,,9,84,62,41,,86,99,,,20,39,,77,,79,,42,,89,,,2,,,32,,56,,24,,,,83,,13,21,21,69,64,,9,65,96,48,,29,18,,41,65,,,,,82,0,,25,,,73,,,,66,,,79,,,,,,34,4,,,,88,,54,43,95,90,,14,,,,4,44,41,86,88,,95,,30,,45,,58,,16,2,47,43,86,95,29,
,,,,9,,,76,59,,,,,,6,,82,,,19,6,,,42,,96,5,,,11,49,22,65,45,,99,75,,95,39,7,37,,57,,49,89,12,2,81,,,,,,85,,,44,,,16,,33,68,72,26,,,6,48,,,,64,55,41,40,64,,,,,,81,,,,,27,4,,,,,51,23,,15,23,12,25,,,,,,33,81,,,26,46,,,,16,40,57,,3,,,78,17,79,,46,49,,,2,,4,38,,,,37,,11,,58,,16,54,33,34,,,,79,41,,22,,96,,22,,,,61,99,,12,,,,24,,79,,59,32,,,,,,3,,25,47,,79,,60,,7,65,,,27,,,64,,,92,57,,59,58,58,,,19,60,,,69,50,,,,,88,31,,,65,,,,,,13,36,25,,22,34,,,26,,,6,9,23,,79,4,61,,,,27,,86,,31,,25,88,77,,10,,39,86,,65,,,88,,83,,,6,,,42,67,98,12,,39,,,,45,55,14,,,98,,,83,,21,63,68,,,45,25,86,,,,,24,31,50,,6,42,30,,97,95,,,,,37,,51,,98,64,,8,46,,3,50,,83,,,47,,7,,,37,,,,23,25,,94,84,93,,92,,97,,,67,,,40,3,,5,77,,18,,48,,,,84,,42,,26,66,9,66,,,,,,,,,,,65,54,,63,41,,,62,47,,,36,,32,23,84,79,39,,18,23,61,25,32,,33,44,41,,80,,,42,,,,,89,5,,,83,11,,,9,,31,36,24,75,,22,,,,58,18,8,,60,15,43,,78,,86,7,,,,18,,53,28,,,34,18,41,29,43,,29,14,,,,47,97,,65,,88,,61,,,,97,83,4,,60,,11,,,,,61,,31,,41,97,99,,,89,,51,,,,98,79,,37,,,,,78,73,,34,,20,72,,,,,95,,30,,,50,,17,,0,,93,51,69,89,34,11,67,,,70,,69,36,,91,,39,,,,,,,,,93,,23,,64,,,,29,78,,15,,37,,30,68,,,,48,98,,57,,,63,65,91,,12
9,,90,58,87,37,79,37,,,,25,88,42,52,83,52,4,29,,,,,10,,,,,,5,,,21,17,58,76,,3,5,38,,46,82,,67,,94,,,37,37,20,27,,,,19,82,29,,8,36,,,16,10,,,48,23,80,,,93,37,,,,,,49,,43,,62,31,,73,,,,,,95,81,58,71,82,,20,42,72,43,,,,79,,17,59,,76,,48,,,21,,,,,53,,54,,27,49,87,17,35,,,,,24,,36,,60,,26,,37,68,32,4,,48,88,24,60,,,56,,,90,,74,,75,,75,39,13,5,98,83,62,,50,5,7,80,95,,,,,,72,21,,,,,2,67,99,,52,,,42,,81,18,,,58,2,91,9,,,10,,,,84,29,42,,,,,16,14,98,31,,,,13,,60,10,1,24,,66,,15,,1,57,,,37,,97,,38,,,21,4,31,,92,,,62,,6,60,,,,75,73,,0,41,,,78,,,48,,87,17,,43,63,,,,8,39,,85,,,,3,,,24,,,47,15,,29,79,93,,,,,,58,,,,43,74,82,,72,,,38,86,66,53,77,58,37,7,50,72,22,10,51,8,96,,,,,22,19,54,95,44,82,,76,,48,,,22,26,,,92,,,,,,,32,71,76,,48,,52,,41,,49,21,,80,45,,2,,45,,30,28,63,,,16,69,65,,11,,22,58,46,,,,,95,35,,62,41,,,51,,,63,,,,37,,,,32,,,,,67,,83,61,,,18,,,30,98,17,15,18,,34,,90,,30,,,,72,,,62,,38,,,,55,70,87,13,,,,,15,31,,58,28,47,,,,,48,52,69,,63,63,,,,,74,38,,73,,,,,,,40,18,4,83,,84,,,55,,,87,53,,61,73,,,,94,,59,,91,77,52,,,,68,24,11,,89,17,,0,,,89,98,,48,42,,79,,,68,,,,76,,,,22,,,36,,88,,,33,33,,,,,96,12,35,19,,6,91,97,47,48,,,,60,24,,,,43,75,,,0,21,63,,,,14,47,79,74,,,,20,63,20,59,,97,79,25
7,,,,,1,11,,23,39,31,,18,93,,,,,73,,97,70,32,,,,,,,74,7,68,,99,,,,6,,65,55,29,,,58,96,42,,99,,,31,,,,40,60,,,,,,40,58,31,,,89,,,,,96,,86,70,21,15,16,65,,68,14,,,,,,56,,,65,,12,,,55,64,86,,,35,18,,2,13,49,21,79,,,62,57,43,77,,22,,,,,,12,59,8,,16,92,,,,,,,,79,36,29,,8,8,5,79,,,58,,,,25,34,,23,88,43,45,,,,,,62,17,,,85,,86,50,97,3,70,83,90,,,,,,,,,25,,,,3,14,9,,,,68,84,,,,,,22,52,53,15,,49,50,,,,,,,14,,,50,3,29,21,2,,,,62,84,18,53,56,,80,,81,,,58,41,,,,,69,27,,,92,,67,,33,94,,75,,55,67,87,92,,6,58,,,8,82,42,63,7,52,,33,,,75,18,89,,,,13,,0,,10,14,19,,39,,84,,,74,24,,,,72,47,,26,,60,,17,49,,50,,87,91,97,,40,56,15,5,31,17,22,95,17,82,,,34,3,,55,85,25,22,,87,46,56,,,81,48,,,55,,14,88,,,,,86,65,,,,49,,,18,,,31,75,87,,,13,77,73,,,15,,,,,57,,9,,22,60,,18,,59,,93,98,,76,2,70,34,,77,,,75,,48,88,10,44,,,,,,,,,,64,90,3,,44,13,33,,,,,4,,51,,,64,86,64,77,12,,,,78,22,79,19,,33,,31,78,,,,,,2,,99,82,84,48,28,32,83,64,,39,,31,,39,,97,33,59,82,,61,,,26,,,62,54,15,27,22,28,,94,1,,,,,,78,83,25,53,85,53,10,48,93,,,,,15,,60,89,,,,,,,40,,,,90,,,,3,,,,89,83,81,,,69,85,8,75,,48,,23,,65,,,,,88,,,,,,,3,37,56,,,95,87,,,,,42,38,,36,14,99,,,,,,,,59,,,63,21,,53,,,,45,,,,75,,,,,,39,91,
,,,58,,,,,,3,,,,,,,,,,94,,,14,48,,64,,66,16,,,,,72,,55,67,99,,90,,91,59,,4,,28,17,,,17,,,2,77,67,,43,55,,,,26,72,,,,86,64,,,78,33,46,,69,24,,,,77,10,,,,,77,,,74,,,,91,,,,,84,72,89,,,32,,,18,87,6,,91,31,37,5,,37,20,37,86,,,,,,,,12,,5,24,80,,,,41,64,11,34,,26,,,,,70,90,96,,,35,,,66,,,3,,,,21,,,,,,,,,40,,90,,,,,,82,,2,,40,,,29,63,18,,63,33,,,,,76,,,61,,,43,,,,,36,56,5,22,,34,,,71,30,,,,92,,71,,86,82,,,,,,48,,2,17,37,27,32,6,70,51,14,,,,9,,88,33,,15,,,5,3,87,43,47,83,79,77,42,,37,79,75,,,58,,,16,14,3,90,11,,,48,,,85,53,,,,98,,,71,88,89,78,,72,,,41,65,75,,54,,,,40,89,20,82,89,61,,,7,,,34,43,60,,78,,,83,43,53,19,,,,,30,,,,91,,51,38,,27,15,,,29,99,35,,74,,,,83,63,88,,,35,,17,,17,,93,,66,,,16,52,67,,,,55,,,30,38,24,78,44,,,,,,,,56,66,,97,78,,54,42,32,25,,,83,,,,79,70,89,35,,3,75,,61,85,45,93,,17,,,27,,99,37,34,,,,45,,13,,16,,51,45,36,,,,60,94,94,,,,96,39,15,,39,,,86,,,,,30,26,72,86,29,,2,,,,48,11,60,,34,,,34,,59,68,,99,,43,71,,,0,,,,,,,,,,4,,93,3,,,24,83,87,,80,,,65,80,78,,48,,,9,17,,72,,90,95,,8,,6,,,99,34,80,,82,29,70,,2,,,,,68,23,,95,,67,,75,43,,7,48,58,88,17,,,,9,99,,22,77,32,,8,,,,59,,4,67,79,2,7,44,,,24,69,,,34,,38,63,,,,90,0,14,15,1,,,,40,
0,0,,61,,92,96,,52,,,,,,,54,24,14,,,,13,,11,,10,12,,,26,,,,,,90,84,63,,44,,27,22,58,,99,,15,,,,,78,49,50,,,97,,67,,86,64,,,,94,70,,,45,,92,49,29,46,11,,20,10,20,,,,,19,70,,48,,75,,22,,94,,57,62,47,85,14,,4,24,21,68,59,,,74,97,16,21,61,54,,81,,17,,22,,25,51,76,22,17,62,25,60,98,37,79,,87,71,30,91,59,,,,62,,92,,75,81,76,85,,,,19,,20,,91,74,51,,,,10,,18,,53,44,90,81,,87,49,,54,65,,15,,92,0,25,19,,8,61,,57,66,,,,,35,64,,,30,3,,28,,62,47,74,43,,44,,,,85,,,44,,,94,43,56,,,3,,,5,64,,,,,95,83,2,4,,,,,92,,,38,67,48,25,,0,95,,76,60,6,0,22,22,,,41,47,,,42,61,97,,,84,39,75,,82,,,39,,80,,,78,83,27,,11,62,63,,61,51,,32,,,,,,,,,96,,,,80,,,63,,,,,,74,74,62,90,,80,,72,,33,19,,51,65,92,,,,79,,71,,48,,92,,,,23,54,,,,,56,,,46,,39,57,,,,,25,55,,25,20,55,,,55,,,,,2,,,56,78,45,,82,,41,65,30,65,81,39,,7,,27,72,13,,59,,29,90,50,12,,,,,15,,,34,,,,70,44,79,5,45,71,20,,19,,35,20,37,,19,88,32,,60,35,81,,,,,,,23,53,43,10,,,28,,,4,,,,,,88,8,,,,56,,34,,35,48,4,16,,40,,59,95,,6,59,,,35,,,36,,,40,13,16,,3,63,,37,98,4,73,,45,14,47,50,,,,42,80,,,,1,,8,70,,7,,14,,51,,7,92,,75,,22,92,,,,75,55,,10,25,29,,,,2,48,71,,32,,,,45,,,43,,,70,,67,,,,,84,61,,,,,25,76,,,,86,,,,,,,,77,,,49,4,,57,,83,,,,59,,83,,,48,,38,,66,,72,65
,80,,,42,40,15,,,80,89,22,,55,43,,12,,18,95,,56,27,53,,95,80,79,89,20,23,,,47,83,19,32,72,30,,,,,,22,,,18,,53,25,1,,,,86,,,,,,,46,,70,,27,91,,48,,,48,,45,62,79,61,,70,,,18,,39,,8,,,,46,,,50,,,,,88,,,55,99,,,,15,,,,4,41,,,99,,,97,,95,,,,21,,21,9,,27,53,,30,,50,40,69,,25,,,,,77,,67,,,,,,26,,50,86,,,,12,,,,,3,,57,,47,4,82,,,25,67,0,,62,,,14,64,55,52,,,,23,55,46,,98,25,,,73,9,,,,,,80,,73,39,93,,,36,28,,60,8,59,55,31,48,84,59,77,26,42,,,40,95,,69,,69,,,81,,63,80,,43,,8,62,,51,54,29,,,,55,72,25,6,3,,74,,,67,10,,,,,81,1,7,67,14,,,,20,,22,,73,,50,,88,,73,,,9,59,64,89,,80,,,,43,50,57,,,,,98,,,78,,0,18,86,,47,63,,,49,18,,,,,70,18,,20,33,10,44,,90,,24,,71,,8,,85,,48,,45,22,,99,,,,,88,,63,0,,30,77,,26,40,,,,,,98,,,,37,,,34,39,27,,,29,73,21,34,,93,36,,97,80,,59,,19,,,85,33,,,63,,6,1,9,64,69,78,,62,,,,64,,,42,32,,,30,,61,,,,,20,20,14,48,,19,26,,,,60,33,,2,,19,,40,,61,,,,15,78,,,,,,,,,34,72,,,,,,,47,85,,28,,,,,11,,30,,41,67,,,87,,3,,,75,86,54,,31,78,,32,,,,19,47,,,36,32,50,,63,90,,32,67,,59,,26,82,,,23,,36,55,41,,,46,,89,,22,30,91,,36,,60,26,,,,57,,15,,83,74,84,,,87,,13,,47,,65,,71,,,58,53,,50,35,52,4,,,,,88,49,,57,,96,6,26,54,,52,86,,27,,,,,,24,73,,41,,,,,2,46,,88,16,,
