700
37,95,86,29,,47,11,,69,,,,,,55,,65,38,,,,2,,93,85,,,,76,62,,,,,,53,,,87,,,,5,85,85,,,59,,99,80,,,,52,35,32,,,79,,,27,57,31,63,,20,99,39,,42,79,45,77,,86,14,56,29,,,,,47,,,89,39,74,27,49,75,60,85,,,23,,83,12,,46,14,,17,,54,,65,,52,44,,85,24,72,,6,,,79,17,11,96,,,24,99,85,,,,,80,56,,38,,2,39,85,77,91,,91,9,,29,13,,32,28,31,,,,,49,,,,,,8,,87,69,60,,82,70,81,96,17,,55,,14,33,42,87,,,86,,47,,82,,,81,,,,52,2,,,,53,56,97,69,88,,,65,,,,,,,,45,40,28,,48,,,,,,57,,58,,74,,,,,,67,29,31,51,74,59,31,42,62,,6,,,,77,71,51,,61,,,,87,95,84,,,56,,62,15,68,,,,7,,,,,65,,45,,12,,54,,4,32,17,,,,7,,,,63,62,,26,,,,83,,,,78,64,96,,5,80,,,51,73,33,,,,,,69,,,37,,84,,,39,80,68,,85,14,49,,,76,,35,,,,,52,,,,,,11,,,,34,,,,97,23,88,83,40,,54,,50,,62,,17,,84,,,,70,,52,,48,,63,57,5,0,13,,60,36,61,,,,,71,,6,,87,19,,,12,33,89,,,66,,,,20,90,43,91,92,84,,,48,23,87,8,70,,,91,83,,68,,42,9,,,29,79,,,,,,,82,,47,,66,,99,79,70,90,31,15,45,,8,,,,39,49,,6,,,7,,,,63,,,,,,,30,,29,82,99,93,20,54,16,,41,22,,,,,74,6,8,,,,,5,79,44,,24,,,,,59,,78,,5,12,58,,,,34,65,2,,,,,86,,91,48,29,20,,52,,65,,98,9,82,,,,10,53,7,,11,57,29,84,,,,30,60,,12,37,2,,,,65,,,52,27,4,94,,38,74,,16,,,31,77,,7,11,92,91,,,,,,10,60,,,,,,,,71,,46,10,,,29,61,53,,,,16,29,61,,,59,,,6,70,,51,59,,,,,60,,,,,,,17,85,48,40,77,80,10,24,,,63,30,13,42,62,,13,40,56,,,80,11,,49,25,,,,81,,,20,,,,30,,16,,,23,3,71,46,,,,88,,,25,42,43,,,,,63,,7,78,25,88
,,96,,,,2,,21,45,18,57,31,,,,,72,,41,79,,,,11,88,23,21,,92,,34,,,,,,41,,11,38,26,,97,76,9,,17,,45,,4,,,,62,,,14,,,,,,,,,,,6,,32,84,,,,35,72,14,99,66,,,9,,41,,21,54,,90,36,,,,,43,,50,,,46,,,,30,29,68,36,,,0,,81,,94,,16,81,,70,,,,,,,46,57,38,,98,50,1,14,,,58,29,33,34,,,,79,53,,51,,,,,18,,73,,,,70,72,7,46,9,,21,,,,36,,3,80,,12,,21,57,83,,2,74,,,,,38,,,24,39,35,,,,89,,,75,,,,,85,,4,72,2,72,84,,63,68,79,,72,51,45,,57,25,68,69,6,,33,,,96,,34,10,45,,,65,94,34,,,,47,98,,,49,,38,13,,,86,19,4,,,,62,,,82,,,20,30,42,,37,,,3,82,,66,,,34,9,43,,59,,71,,,32,,,,,,,,60,,52,,38,18,85,,,,,56,,87,,88,,,,,,,72,,,,20,,20,,58,21,,,,68,,88,,19,,,,50,86,,,,8,99,89,,,53,19,,43,92,,,97,72,16,1,,83,40,6,75,76,11,22,,59,,71,,40,,26,54,71,,,,65,3,20,,,,,,82,4,,76,74,,42,41,,,77,17,57,,,,28,,75,58,,,,61,92,29,4,94,,59,,,,6,,,,,,,,,,91,62,97,25,,,,,,85,36,,20,73,,,86,,71,,,40,,41,12,97,96,,,,46,78,42,,,,,,19,70,,,,3,91,,1,,39,,60,,23,,9,,79,68,,39,,98,,,71,78,3,61,,,,8,,,,88,,99,,,,,,,,,,19,,74,51,,94,,86,4,54,,96,43,33,,82,,37,,,85,,,,,68,36,8,13,,60,,47,,,,0,55,,,,,,16,80,81,,,,,,,97,76,30,70,,,,78,93,60,35,28,94,,67,,,,0,,22,47,67,52,,,,0,20,70,14,60,11,17,73,72,,,,60,,,,,53,69,37,,,,12,87,70,,,1,,,21,57,39,10,5,62,,23,33,,,,71,,49,37,56,,3,,,,9,25,,37,29,48,91,,72,97,61,,,,22,,,64,53,,,57,,,,,21,,89,51,98,,24,,73,77,73,84,6,,96,4,22,,77,,22,39,,28,,44,
,,,,59,63,,0,76,,69,,58,,,,42,87,,48,3,98,,85,19,,50,7,,47,,36,,,,,,,,65,66,78,,52,64,27,,,,62,,62,58,,61,,0,,,,12,16,20,,,18,,,11,,,58,32,,,32,,65,,76,79,,,51,54,,48,6,,99,3,,8,24,,,,,,,,,,15,88,,32,61,,13,47,64,9,33,,71,48,74,,70,44,,3,,,,2,,,18,,,63,79,,,,,,55,87,68,,,,,,4,,54,,,33,,85,,,,10,97,,79,82,9,86,50,64,,,33,93,95,,,,81,12,32,,,16,,,98,23,27,,,,,,89,,,,29,,,26,,38,38,,,,0,,,68,7,,,,,67,,,77,67,53,,88,,16,,5,,,,59,,78,,,,,,18,,,51,23,11,,6,95,,,89,54,,85,76,71,,,95,,57,74,42,,13,43,34,30,,71,,26,,,,86,53,,,13,,88,,,,90,,56,,,53,,,,38,68,72,,,84,95,17,10,,,38,,,91,64,49,,,,,37,,,38,,,,,60,,,14,,,,57,95,,28,31,,5,,,,61,69,85,52,74,,,67,46,52,,,,77,77,,,,43,,,,25,,,,33,,,,1,45,4,,,11,47,,,,,,48,58,,32,,,,1,19,65,,,,56,24,,93,42,,85,,59,,20,,,64,52,55,,,27,80,,26,,,15,,,90,15,48,,85,49,,77,36,18,26,80,,,1,77,53,,8,,90,,,73,36,,,55,,19,91,,,,,,,89,2,,94,96,96,,,41,,,,,,5,84,13,21,,,44,,34,,,,31,,,,83,72,,57,,,29,25,,,21,,,,38,25,,,,22,36,,81,,61,77,74,61,48,,36,,,,,,43,,68,,79,,,,32,13,35,,38,78,,,10,,22,,,96,,,40,,,59,55,,,27,,73,52,62,,,62,59,68,5,,63,,9,92,,24,70,,43,0,57,,,,33,,,3,,,77,,,4,55,,,,,,22,,,82,32,,,,,84,6,93,43,,,,72,,43,,,61,,,54,,,87,,87,,,21,,,,,69,72,69,,66,94,57,27,65,2,,98,,71,27,31,90,,,49,23,,,,,,,,,82,87,51,,,,,,26,,,,35,59,28,12,,,8,5,86,60,67,44,,50,,,31,,,,,,,54,,
59,34,,,55,,,20,39,,,,66,61,13,77,,66,88,18,61,,,,,,,78,90,38,,8,95,37,37,47,,,37,,,,,,,,,93,,52,,91,91,,,,,,,,,0,98,34,92,,,12,20,,,51,,,52,,,,79,,,89,91,25,,,,,,80,,73,,,22,97,,27,28,42,,,,70,68,49,,,,26,,,19,46,16,90,,,57,34,98,,62,,,,19,53,35,71,20,,51,,46,74,37,96,,88,64,58,,,1,,,15,,,95,59,68,20,7,,68,22,8,29,12,13,54,60,,,,,,4,73,,82,26,72,77,7,52,17,,88,93,,,,,,,,,,,24,99,,,,45,18,81,56,79,,86,34,,0,,,,46,,,4,21,73,7,23,,,14,31,66,32,,,48,,,71,,,,83,,87,98,19,0,67,,59,33,,37,,32,,,,,,,38,,,,4,,84,73,,,,,,96,,,82,28,,98,70,,7,81,,74,,,52,,12,56,3,,,,,17,,,6,85,63,83,71,16,,,,,,96,94,72,85,62,,,54,64,,,,94,,,,,86,77,43,,0,93,48,66,65,76,40,0,55,36,,,63,18,42,26,79,50,,,74,91,,,,,,72,,73,,,64,17,5,,98,13,,,69,,,,,90,,82,,58,,47,67,,62,,,,,,73,77,,,11,54,47,,,,,79,82,,,,79,68,63,,88,28,96,,,,72,63,,70,,,26,4,95,,44,,12,,,1,,60,90,,,,,54,,,65,,,,6,,44,50,,68,,5,73,77,73,33,4,85,93,72,,39,5,,79,,,,,,,,,,74,,0,33,76,58,7,,,,,79,6,54,78,,24,,,,,,67,31,,,90,,7,7,10,89,4,24,4,7,,,,26,36,96,,,32,,,36,,80,,81,,,52,44,,,21,,45,,59,68,92,,71,,,,,79,,,,,,84,88,,11,95,,,56,,56,51,80,47,,,,,,,,99,83,,,,,,23,99,,99,,60,,25,2,44,,14,99,,37,,,,59,,59,91,,,48,72,61,72,,,86,,,,64,,98,,,32,85,,77,,,,31,17,50,57,57,,,61,,92,26,91,,,,,,56,21,,56,32,,,,56,78,,,24,,,,68,67,69,27,,,69,,,4,7,54,46,,73,85,,,,,,85,,,,50,,55,29,,,,85,,72,,36,,,20,,,78,72,,
60,,0,,,,,13,77,30,,,2,,52,58,,80,72,,,,57,,25,,,,,,66,,29,,,,,62,,,36,13,36,,57,23,,65,24,,6,23,72,,,,,,18,,,85,,2,,68,83,34,,,,,56,,77,2,6,,,99,31,,23,,52,,86,,,19,91,4,,,50,23,,,32,48,61,53,,,93,23,,43,43,,,40,,73,,,55,,32,,34,,,48,,36,68,,,57,11,,42,,52,,0,,94,,27,87,97,,,,,23,,12,70,,,7,56,71,,77,,,9,,12,,,,47,59,37,,50,38,40,36,56,91,75,,48,38,,,57,,,,26,,,,4,40,,10,81,,99,,51,68,,,,,,50,77,,,65,89,,46,,42,,14,82,,40,31,91,93,,68,60,,87,95,,38,4,63,,,86,,,64,,,31,,,93,51,68,,,98,,,,,,18,86,56,46,84,51,,56,,29,96,53,,21,63,91,,,80,,,41,3,,,99,87,,,34,12,,90,,77,,33,,,,,51,,29,,,7,84,,56,,74,,38,14,71,,7,,,,6,11,1,76,,,37,38,,87,79,72,57,,,20,,,,56,,55,24,43,,,,,60,,20,33,,17,,95,,86,60,95,,,9,,90,,76,42,,,44,,91,79,,14,,51,67,,36,79,71,,,,41,16,,49,78,82,,,,,46,,,,,34,,,43,69,31,66,94,,71,,,,,,,,,,,23,43,,7,84,93,,81,,,23,91,,,,,,,57,,,19,27,,,19,,,,78,,,,68,,95,36,43,,,35,,20,37,,45,52,,,54,46,,52,,41,5,90,11,13,79,84,71,95,56,,,6,72,,27,3,,,,,,,8,,,26,49,,,36,27,12,,,,86,69,,81,,68,,67,97,,46,31,,,,62,,52,5,48,72,34,3,,72,,,,86,,,19,18,,47,,,14,70,11,,33,,,2,15,0,7,,18,,61,2,,65,,,,20,23,99,,,,,,53,58,,,60,,42,37,62,89,,,,33,,46,,27,,,13,77,,19,69,,,,37,37,,30,,,,84,,76,,25,,,38,,65,31,33,32,41,,,,,,,,,77,78,5,34,,81,87,,74,,,49,,7,,,47,,,,61,,98,,41,92,19,8,19,,62,,81,,,,,,,52,,26,28,,23,,,16,37,40,,,13,18,,,30,,,79,76,46,45,84,60,63,,91,,
22,0,28,98,8,,51,72,,,,,,81,,3,40,,,40,87,,96,,,32,,,98,,,,,63,,,,2,,77,,82,,,63,,84,,23,24,,,38,55,,,87,,,81,,,60,,20,50,7,,58,87,75,,,,,,57,27,,35,,86,10,,,,97,,13,94,,3,61,87,,,43,30,93,92,51,37,68,84,,,68,,24,,,48,31,,74,44,44,70,58,90,,,56,,84,34,,,,,,,72,,,,,72,,,66,60,95,,59,96,30,2,,67,86,87,,84,30,,,74,,23,,13,,,,,79,23,36,,,,18,54,,,11,48,,,40,,59,7,25,64,4,,17,,76,,,,87,71,94,99,75,,0,72,50,,,,,,,,24,,98,,45,25,58,,45,,51,,,,,32,91,,,,,25,12,72,,,,,,,7,,,,62,80,,23,32,,,91,30,,,,43,19,7,68,97,,76,,76,,50,,41,39,,,51,45,,,98,,,70,,98,19,12,46,,,37,37,,,81,,,,,89,,34,,30,63,,,,,52,,,,,,97,,,41,35,,,9,6,,,19,96,,,,,,,75,,0,67,,17,20,51,,,,,,,34,98,84,,90,98,,69,36,24,,52,,36,90,70,,98,,52,,95,37,92,31,24,,59,,21,64,,,,63,,33,,,40,,,37,,76,4,61,48,87,,,,,11,88,62,,,,42,,,,31,,21,,36,,,65,,15,94,,56,,8,9,,6,27,39,,64,90,,,,32,27,48,,33,,,76,15,,,77,79,97,,,28,59,8,,,23,,61,71,80,,,92,,,95,,,,,,88,63,,23,56,,76,15,,29,2,3,,77,,41,,,,55,38,,,,81,75,,49,21,61,32,,,,,55,,93,48,,,,96,91,,,,,,19,61,25,,46,0,15,49,,,96,62,33,,4,,,,,,,57,,8,,,88,9,,79,,,86,,,6,99,,,77,55,,35,,,51,,75,,,87,,55,2,49,80,84,,,,77,74,,,,32,,28,46,,,,6,,64,95,,95,,,,,49,58,,,,30,,49,,53,57,,5,,,42,,97,,,,,28,,,90,44,,40,65,,,43,,32,,73,82,27,,,7,,,42,49,20,94,,,9,55,87,,39,16,11,63,46,0,,29,98,,39,69,37,,94,,54,,48,,71,,54,,,,,41,,9,87,,,,,18,22,84,,,,62,,
39,58,,92,,,,94,,,,45,,,23,,,,,,1,,37,,74,,,,,77,,10,,20,68,,77,,,,2,,85,,57,,,57,25,5,,,50,,60,90,96,5,,96,,6,,,,,,,49,82,8,9,,42,80,,,67,88,19,4,,43,15,66,97,,36,,31,,39,,,,,90,,5,,,,,,,,88,21,68,0,,11,,63,33,56,,,83,33,,,66,71,,,27,,,13,22,91,62,72,,14,,54,0,23,14,,,2,,24,61,,,,49,0,49,28,,,,,67,92,40,,37,27,34,50,,52,,46,11,,,,,,,39,,41,,,,61,13,,,,,,45,4,54,,63,67,50,21,77,,,,22,80,39,,13,,,,,,27,,,,32,,,39,38,,,17,9,30,,20,11,,,36,75,13,90,63,,86,,,,,96,50,10,,99,51,,45,,,1,,,,78,13,,99,32,36,,,55,33,94,,67,77,,18,89,53,,83,,,49,,,,,,68,79,,,54,63,65,92,27,,9,60,1,14,,,0,,,38,31,17,,82,,65,,,,,,,,82,4,,,,73,91,92,61,,,93,86,80,,,87,,80,85,28,,,87,,,66,28,,98,15,,19,42,,33,,,,56,,,,,26,45,86,40,,,51,,,75,,,,,49,61,8,,,3,94,11,,59,,,,,23,,58,73,,56,,,,,17,,39,32,37,76,,,19,84,,,64,,,,8,18,80,,49,,,41,,72,,29,,0,,69,84,,,66,,53,23,,,97,94,79,80,,0,,43,,28,90,,41,96,76,31,,24,88,46,41,62,,,23,27,56,5,88,17,,23,,3,,,,75,65,,,,5,,1,14,63,33,72,,,50,,34,,42,65,,,48,,4,40,78,11,,,,,6,,,64,49,54,,66,,61,,56,,,,48,77,72,78,,44,6,65,,59,,,,,,,22,,,,,,31,,,,33,69,,82,,,94,65,46,6,,62,6,0,,50,38,22,,5,8,78,,38,,39,,97,18,29,,,,,71,,,,94,,51,94,,54,,43,45,,52,6,69,43,80,90,,,78,90,68,,60,30,7,,,94,,,,,,,,34,4,,70,52,32,84,78,,,,,63,,,55,7,,,53,33,,5,,,52,22,82,57,,61,36,27,70,96,22,,88,86,,91,,13,,,,,,64,4,,,,87,43,50,79,,,30,53,19,22,33,85,45,,50,,41,36,45,,21,81,,50
87,,,69,,87,,90,,,35,84,87,61,57,,,86,,,83,,55,78,97,,,25,13,11,,34,,14,,55,,,,,,,,,52,16,13,,89,,,79,99,35,88,97,17,,,,80,,46,,51,,,59,94,89,,3,20,7,,,,,,14,87,,71,66,54,69,,,84,,77,,,,52,,17,,66,48,88,,59,74,99,66,,,,,,19,,25,,,65,,,28,73,,,54,,15,,71,0,51,,34,86,,,70,46,54,79,40,,,66,,77,91,63,,64,7,63,91,33,93,71,,66,44,45,56,15,,15,48,65,5,,,,26,,85,3,,,62,,,,,62,45,,,3,63,72,67,,,,,,,,,66,,,,82,62,71,47,,,69,76,52,25,26,,,72,,83,3,39,,86,,14,35,,10,60,,,56,15,,,57,,20,,28,,,,,,,50,33,10,,,13,26,,46,52,32,,99,,,,11,23,,12,,62,,23,20,68,,,76,61,53,59,,29,,,,38,,78,96,,70,30,69,,85,,,,26,,22,,,,75,,,,,67,38,,26,,,36,93,,,57,77,43,5,57,,55,,94,57,,,,81,,47,38,,,51,54,6,,,96,,47,,,,42,88,,,60,69,,,,83,7,58,22,,,35,75,29,,,98,97,36,36,,35,52,42,,,25,97,90,12,,55,22,15,36,58,60,,,26,,18,17,,2,46,59,,36,23,,,,41,,68,,61,65,,,,,68,49,,,20,,72,,93,83,85,21,,48,47,,,8,,97,,,,,,,,44,73,11,98,4,,53,,,,98,53,13,65,,24,,2,36,,13,,33,,,16,,4,89,,6,4,97,70,57,80,45,,18,,49,,3,76,,,,5,52,1,,,12,,,,,89,,1,,,,53,,,63,,91,49,5,93,,77,,,44,42,,30,,,,49,19,0,,92,,11,,83,,69,10,77,5,,40,,63,6,,,36,1,,,9,97,,10,,73,,,,,,,3,,,,30,,,79,12,,4,,,,66,,,16,74,,97,33,,52,19,67,32,39,16,35,71,25,,,,,7,,,,29,67,,,,,33,,,,45,83,57,78,75,79,27,,34,18,68,40,88,23,,2,,,,,69,21,83,,93,60,23,,48,,,,0,27,74,52,75,46,,,51,54,,82,9,70,,31,28,,86,65,,59,33,,60,46,58,,40,4,75,,,,,44,,,72,16,30,,68,72,34,52,,,89,32,46,,68,,,,79,14,29,
,30,,,25,33,,,,,16,,,,,,4,,,47,,77,,16,86,,,81,,,,,26,,,42,,5,,45,84,44,,,52,,,,34,7,,71,33,,,,,,73,,96,71,,20,32,,37,,42,,23,,,68,,,,9,,70,47,,78,64,,,3,,,79,,10,,,82,45,50,35,,42,90,,,6,93,14,,,96,,,,,,,,93,74,69,43,64,,,,,6,,,59,,,74,9,62,,,,32,,95,71,1,,,6,58,44,,66,11,,,25,52,61,,47,,16,,79,14,,74,,50,69,,85,,72,,,19,78,82,,,30,,,,,,66,,83,76,,34,8,39,61,,,,1,55,62,,,1,,,,77,60,,,1,14,,,43,46,73,11,,,94,,,,58,,,31,,,32,43,10,,,74,,21,,,,,45,4,,40,,,7,33,,,89,,,,,74,74,,61,,76,39,,,,60,5,41,,2,,,28,,,76,74,91,,90,,,16,,,57,51,,79,,20,51,26,,41,14,,,31,,,69,78,,,9,99,39,43,17,22,26,47,,,67,,41,,25,,37,,11,,11,,,,,98,91,,74,,,31,,59,88,,,,90,,67,,32,,,,,,69,57,,70,,,67,28,,12,,36,,,,26,,,,65,,,,67,,77,,40,53,,51,39,,,92,41,83,,33,64,77,,87,3,89,66,,84,,90,,78,,,52,,27,,86,,,40,,,60,5,,,,26,,64,,35,,,,,,,,,,72,,83,,96,75,67,,36,,,,94,,80,,78,53,,38,25,62,,,,,,92,,,,47,,8,37,39,,5,,4,62,,70,,,,,0,77,,,,50,,2,,19,,42,,80,,,,68,53,,2,4,45,,,,,,93,,62,,,,,,,57,87,,1,88,,6,,36,,,,6,58,27,77,8,,,,42,,,,,97,1,4,30,,50,77,,90,,66,,16,30,27,96,,,,,,,,,53,66,31,50,20,49,97,,,,42,,,72,,,,50,0,,,,99,,,,,82,10,47,87,,42,78,,58,22,,,,,23,,,27,75,,,,,45,29,81,38,,,99,,40,78,,,,,,,,17,30,75,,16,,6,,28,84,,33,,,9,42,,39,99,10,,51,,,,33,31,36,,67,,27,,82,,,53,,83,,48,44,,,27,,77,85,,63,89,,,,23,,47,85,98,17,,,
35,91,34,,32,,34,79,30,,,75,80,18,,83,,,0,,,,47,,,2,1,,,9,39,,65,3,80,,64,,40,65,,20,36,,28,,,,2,,,88,,27,,38,,17,3,,26,,,93,80,13,,50,37,,,72,63,,,6,81,,49,5,,,,49,59,56,,,36,,81,86,,38,5,,3,,31,,61,99,4,22,,,,42,,34,23,80,97,93,,,0,48,72,,,,25,,59,66,,65,,,37,68,,,,,,,11,18,,,,68,48,20,,,,,73,,90,,2,,,71,22,,,5,54,0,47,,4,19,,,,90,65,,58,17,,,6,89,80,92,,77,90,,31,62,,65,,,27,38,,,17,,,,,,13,77,34,43,97,,28,85,,19,68,39,,,72,42,28,,,47,2,,,86,83,58,97,,,,,52,,,37,,1,,55,,,,1,30,58,,27,75,,,,,13,,79,,,10,,61,,,,26,,50,65,25,,21,86,,,,,,29,84,,,31,,16,36,48,1,6,,24,,95,15,96,50,,62,,,28,80,,,,,,,,91,38,,20,48,,,,,22,,,,,,76,,41,10,,,,84,76,83,70,,,,19,25,2,6,50,23,38,49,80,,30,,,,,20,,,99,,,79,93,61,,89,53,,,,,,,,34,,,90,,,,,25,,,,29,,64,,,,82,,58,,,,46,63,51,62,,55,,,27,,36,66,67,,32,,39,,,,,78,,,,77,,,,,41,,31,,78,,,,39,50,,82,85,0,40,,,,83,,6,59,,,,23,,42,,,72,28,,,,,,40,,83,67,70,41,,,,,,,,,12,37,1,90,45,,,12,,15,28,76,,91,,24,,,71,62,,,10,,70,23,,,87,,,2,37,30,90,17,,31,89,,46,73,34,17,26,,0,3,16,,,63,55,,10,33,68,,,46,,98,,,,77,12,,,,94,,,,,30,,,,34,,,23,,,50,,,53,17,,45,,24,,22,53,,57,,,,,66,,,70,26,,,15,54,5,43,95,53,,22,40,29,,,44,29,,,36,12,79,70,,91,,6,,23,,,45,39,,96,,,,,,97,37,66,14,86,94,23,,,76,,7,10,,,,40,84,,,,89,37,87,,65,74,,29,,,,4,95,,34,49,,,57,27,9,53,11,22,,15,9,,,70,,83,67,,49,,46,26,,,,96,,,33,,71,,80,,17,54,,,78
