900
63,,1,67,,70,,19,,,23,53,54,,,36,,,,24,3,18,8,70,96,,,,,90,14,,85,42,,67,,,,,34,,,32,64,57,34,35,,8,,66,77,66,95,,11,,,78,,,,,,4,8,,88,,61,48,93,60,11,59,51,,,39,,,2,19,,,9,15,50,87,58,,,7,,,54,,,15,,53,,,,,41,32,23,85,,,,,12,,68,14,,5,,62,18,,,,86,89,,98,,46,51,,,7,68,,,,53,,,54,,,8,,,27,,,87,,3,,12,86,,,,2,,,92,82,,,,4,21,,,,,8,0,85,82,56,32,68,13,41,,81,57,,,,45,,3,,,99,,,,,,69,,17,42,43,,,20,39,,,30,,,,,,94,66,,,3,,,9,,86,84,,,62,37,,,,17,29,,,63,12,,,,58,,44,,,93,,86,43,,48,,55,,45,,,25,,20,11,,,,60,36,65,50,,,18,,63,,88,,,28,4,6,81,,,27,23,,98,,66,76,,26,,2,17,77,,,,86,28,11,,,,,41,,,,,,,21,10,70,,24,,10,3,19,,65,50,73,84,,,99,,,,56,19,33,74,38,52,,,39,41,46,,49,67,22,63,,82,5,,62,16,,,45,,63,32,76,,,,,,47,22,32,66,21,,30,62,,28,1,65,78,75,48,,,,16,,,,18,73,,,,36,,,18,24,,,38,68,37,,33,,46,,,,5,,,22,,,39,23,44,,,55,11,48,81,,92,60,,,,88,,,,0,58,,44,,,97,,11,,,,,,44,,68,,,,57,,43,69,2,,,39,41,27,,,64,,,,,,42,,,1,42,69,49,67,29,,,,41,,42,20,11,,26,,,46,82,,,,8,,55,,,,89,13,,,,82,,48,50,,,,20,,,,,,,,,63,9,45,62,77,87,1,,,35,,32,46,,,27,,,79,22,25,,,,,,,,,12,,18,,,,,54,,58,9,,,,,28,,,,,,,,,92,,8,,59,4,,98,,,,36,99,,59,10,,,10,,76,,77,,7,,,,57,,30,77,23,70,,53,,2,74,80,,,32,44,5,90,78,,99,85,5,48,,,27,,,,,38,,,98,35,37,,32,,10,60,,,75,,86,,45,,,,8,97,,,94,50,,54,,31,,19,16,,,40,91,,,,,,16,40,74,,60,,29,31,,9,4,65,60,,74,68,36,,,,92,60,,,44,68,43,,,23,,96,,84,54,86,,38,14,54,,69,,98,,66,3,,,,93,,,51,81,94,12,59,,,,,,96,,,26,,75,,42,,89,80,,,33,,59,,,,,,79,98,82,35,,,33,66,,74,,87,89,,,33,,35,47,16,,,,81,45,66,48,,61,,41,36,18,95,32,95,88,,,3,46,89,,,,,68,,,,,69,,,1,,,80,,,63,,45,26,,57,78,79,,,48,,,33,,,,92,32,36,50,64,23,80,,,,,87,27,72,,,80,82,,,,11,90,,0,,,,49,74,,,,3,,,42,,,38,,39,,10,,,,,19,,,39
18,,,39,18,26,94,,0,79,,,82,,,28,,13,11,,37,,,8,60,,,34,71,40,55,,,,38,24,65,,,53,,44,,61,,,,,,,96,,64,,,,,,,30,,,17,24,,22,,30,,55,,67,81,34,87,,91,,,,,86,50,21,,15,,85,52,17,,,13,,82,30,,69,33,8,,48,0,,,,,,65,,,99,88,32,61,,17,,,,32,44,,0,51,,,5,30,,,,14,,,,,,,16,,26,,47,86,89,45,81,,99,82,,,78,,92,26,,19,66,53,,,,99,,,34,,,70,,32,,39,48,,,,,,96,36,,,30,,50,47,34,,,,,,84,,59,20,,,,,9,90,,,,18,45,22,,40,81,7,2,,,83,,,48,,,,,78,24,,52,,62,87,74,40,,7,,,,17,,,,,,40,57,43,,55,84,12,74,14,31,78,,,7,31,,21,,,39,41,,75,87,0,,,41,73,38,,69,,66,39,92,,8,31,,48,48,,70,,70,,,,65,,37,94,24,7,,,50,36,35,,59,1,,,78,,82,95,52,2,,,,,,,,,87,,,2,94,,,49,,87,75,,,,,,,,36,91,,24,,2,64,54,,49,,80,24,50,80,5,,,45,79,49,83,45,54,89,73,66,10,73,,,62,,,,4,59,80,67,96,,,79,87,,,,43,,,,7,,23,,,73,28,,,,42,19,,10,,,90,32,,,,2,64,,,75,31,,19,27,,76,31,,64,,,41,81,35,3,,,65,,37,93,,,,,30,95,95,68,,,92,,67,,,,,66,89,,,58,53,5,75,,,85,,,34,,,34,64,,8,3,68,,,,73,80,56,,,80,85,23,,8,59,40,49,,59,,82,33,70,,,73,65,51,,,,85,81,,70,32,,,89,,29,66,81,,17,80,7,,39,69,,,57,,87,,54,91,28,72,50,,,92,,69,,66,11,56,18,,71,15,,75,,,70,61,85,,,,,,,93,,67,,67,,,,14,90,57,,36,98,20,,,85,1,36,13,,79,,82,95,43,,32,,11,,39,,72,4,9,,,59,64,72,47,49,59,,,,,,,,,34,55,,90,,,13,,66,67,22,46,0,,69,5,33,,22,24,79,,,,85,,,55,1,64,,57,,62,,67,,19,,,,,74,,44,,,48,64,75,,,68,68,,,85,,,31,,,38,41,,,,55,,62,,12,94,,4,,99,,46,91,,,,29,,42,,64,,3,,,62,43,,,,,85,60,75,,21,37,,74,,81,48,,58,,,,15,,,29,,,,,,,,24,54,,,9,,58,,,35,14,53,,14,,,55,68,99,84,,,19,45,,,,94,,60,73,,,18,36,12,43,10,24,,,11,,,,,,,,,76,36,38,,,50,,,72,,36,,21,,,30,,7,,63,6,44,,,,16,83,,,,80,,,,,,87,43,7,,,62,75,80,,,,27,,,,41,29,,,,31,,,,60,,56,24,23,,99,55,,1,16,,92,,,67,,,,,21,,,,,,56,,49,97,,80,,,,24,,70,,67,53,,90,,,32
,,,,40,,87,42,65,97,,,51,,3,,,,31,,88,81,,58,1,30,,80,76,75,66,,13,,,,62,8,,,11,14,93,,,37,5,40,9,,44,18,,14,98,69,2,,78,5,27,10,,60,49,86,56,1,,16,33,10,26,,,81,34,,,,93,79,,,59,63,89,,96,,,,,66,,69,85,91,28,96,3,,10,,78,,,,,,26,66,,51,14,42,,,29,,,,,,41,79,,,89,,,58,35,,,91,88,,,34,,36,4,,,0,,,78,87,,,,,17,17,,,,89,,42,,71,,86,,,23,,,75,,44,,72,,51,,36,4,34,,58,,,,,,75,,,61,87,,,33,14,60,,74,38,86,77,,86,86,,,11,6,,,,38,61,92,10,84,29,68,,,,,,77,,,,,54,97,,53,23,,,,6,46,90,5,,,,31,44,59,,27,30,82,24,,,,,,9,89,,,44,,,48,44,13,,,75,,,,32,,,,,,35,51,80,48,97,54,56,,8,96,,60,,,50,,,,67,69,,21,53,,56,,0,,59,70,,,,,26,,,62,,,,,,82,15,20,,,,95,,,60,44,,25,23,98,,13,32,,21,14,,,,,46,19,,,85,,37,,,,,,56,95,,34,,2,86,,,84,,90,,,,,,29,4,58,15,65,,,,,,31,35,,49,,57,36,,,,78,,65,,78,25,43,,55,,,7,60,,,38,,18,,,65,69,6,52,,,47,,,17,31,,93,38,83,,91,64,,73,,,,,,,,,,69,56,,11,73,81,,,62,,,69,,14,,91,,,,43,39,80,31,,24,87,,,18,,31,98,,,,63,70,67,33,98,,,,59,90,3,,,,,49,,,,,96,68,61,,,,,,76,52,,74,,65,,,89,,,61,,0,76,96,76,,,,,81,57,,44,,,,75,,61,44,7,,61,,54,,,90,72,47,,34,,56,18,,,30,39,77,,,,80,,6,,,17,57,20,48,,67,17,50,34,,,,64,,73,65,13,39,,,97,76,,,,,,76,,8,42,,61,,,,26,,3,80,92,,53,47,,,95,50,76,0,,5,,55,98,,,,,,98,,,,64,5,72,,44,,,45,29,77,44,73,10,87,,,,81,31,34,55,,41,9,,,,21,,66,96,,,55,,62,,54,,41,83,,,,,,,98,,52,39,,,,,63,,68,,99,,6,80,,,,49,,7,,,60,,,,,,,,29,,21,,,,43,72,54,14,62,5,28,19,20,82,17,,91,,,85,,9,9,,,,,59,38,56,,39,,,,,79,88,,63,29,,10,55,46,13,80,,41,,40,,,37,97,43,,76,89,,9,62,19,,37,73,81,92,,,52,,42,,,89,,,,61,39,,,,,,42,70,33,,26,,,44,,12,,,,25,19,46,49,42,,99,55,,,,,,71,,51,67,,20,50,,,71,5,,,68,,,65,,,34,72,56,37,94,,,,,22,72,10,20,,,,85,17,,,,,,29,,,48,33,,,92,,39,59,,,,,4,,59,91,38,,41,,71,,,,,84,,
43,66,,,,5,,24,10,,46,3,,47,45,74,51,62,,24,,,0,49,,,79,,,50,,64,,,56,,,,50,,9,19,53,,,4,,31,67,66,98,31,,66,,90,,19,,78,,56,,55,,33,54,4,,,,,,,,12,56,42,77,14,,81,2,49,,4,27,32,,62,19,,95,23,,,3,98,,7,43,,,44,72,72,,10,,27,81,,94,,,,,70,57,5,,42,,,,8,72,,68,,,26,62,,,80,33,,34,,68,6,,41,92,53,38,,,,,90,,42,,18,30,33,,78,31,35,,3,,,13,,3,,,,,69,,99,,,85,98,,,,,,96,,,,,26,77,64,25,,,,,,51,,,5,70,,,,95,92,80,,1,58,,83,61,,,8,,74,43,,81,,0,,,,69,32,53,,,,,4,,,95,99,60,,86,,98,,,,,14,,88,,89,77,95,,,,86,47,17,,,1,74,6,,,,,,,32,14,,84,,70,,57,12,,,,78,45,,,,61,59,78,96,39,,17,22,24,42,28,84,61,,,66,38,35,57,81,,,20,80,,98,84,12,,,,,,67,77,36,,42,8,99,,,,52,82,,57,46,75,50,8,65,,67,,,,,,78,93,,,98,,,57,,,45,64,,94,,39,,,,,,76,35,,,,,44,1,6,44,97,36,64,,,,,37,,29,24,,,,56,,19,68,30,89,16,16,,55,,72,30,,,,,36,53,15,,37,,82,,,7,,,21,,96,,31,,75,61,,,,,6,91,57,0,,30,,48,,95,,,,54,,71,,30,,,57,,38,33,,,,37,,,,98,30,48,,,,,31,9,96,74,26,,14,26,,40,,,67,,,,66,,,,,43,,6,,68,81,62,,,,77,34,3,26,19,9,9,66,,,,,69,,23,,52,,,,,94,,25,19,,77,,79,92,12,22,,,12,87,13,,78,,94,56,95,93,,,25,,22,,71,3,,54,,48,56,,36,,,84,,25,,,83,,70,,,77,,48,26,,99,97,,16,,,32,,,,19,99,49,57,,,71,,93,,,,31,69,,88,80,,21,38,38,95,,,,69,65,,57,48,40,,38,3,,,,82,,,,59,,96,9,,22,91,,18,94,78,90,20,2,,,,,67,62,,60,88,42,16,95,87,,97,83,72,34,76,,,99,,,42,32,,40,,54,21,28,3,94,,,6,,7,,,,74,8,42,31,,,33,,,55,25,76,,,65,,,74,31,86,33,13,,,27,,44,64,,,,58,2,74,15,71,,47,12,,,,7,,,23,,20,94,14,,,92,,21,40,11,,,21,,1,1,,39,,94,38,,,21,61,3,,69,,53,48,,,48,63,68,49,,4,,71,68,,,53,54,61,,,25,68,91,,,39,76,8,48,,,15,,97,13,6,64,,,,,,24,2,93,,63,,78,,21,58,58,,23,,87,67,,8,72,,98,12,,35,,0,,,,81,,,,,47,,80,,,40,,55,11,,46,18,,,,62,,38,,,,42,,,,,47,20,,57,,,,,43,16,,,,,64,,,,73,,,,,37,16,68,,,,,,40,,60
10,22,31,48,,51,,2,,,,36,3,,,,51,41,,,84,71,,,,,13,75,86,59,3,,51,71,,,0,30,,,,,20,43,62,,,,,25,6,8,69,63,,,,74,,,,,,,28,11,,93,1,,39,13,,,,,,,,7,38,,37,,5,,,65,66,41,,48,21,,58,,72,,,,,,18,,69,99,,,38,30,70,,97,,,,43,6,,43,10,10,,,55,11,59,6,,36,36,65,,31,41,76,,80,,59,67,79,,,,14,80,52,5,25,,,,68,43,20,58,,,,41,,76,,87,71,25,90,,,,,40,37,,38,97,,80,88,,,,,,,,90,,31,54,,2,,,,3,23,39,,,,36,98,97,,14,,57,,,73,,18,31,,88,,63,95,,96,,64,,,54,,,,,,,86,66,,27,21,,,,5,,,48,,,,,31,52,,48,73,,,37,3,,,13,37,,,,,36,88,,51,,49,,,,,,,85,,,,26,88,82,72,80,,88,77,,,,,,,,57,93,,40,5,,,,,56,58,,,49,11,87,,,82,93,,82,,,73,57,,71,,65,19,,23,46,26,,94,36,48,,,72,20,91,,99,6,,60,,22,,84,85,,21,,,76,,95,,,33,57,63,,17,26,,76,,15,49,,3,84,,,,,29,95,,,,87,,,,79,79,,81,55,74,,65,76,,,21,,76,10,21,,28,,,,,75,,83,92,12,,,17,38,,,,64,,85,,,,,,61,80,,,88,,41,87,,18,,,,80,74,,48,81,33,96,3,45,24,53,,,47,2,,75,61,81,28,,31,30,99,98,,,34,29,36,,8,64,3,35,0,54,,21,,63,,45,,9,,18,40,,57,45,,,,,72,45,,22,82,72,,40,27,,11,9,,39,73,,,,57,14,15,2,90,92,30,3,,65,13,,36,,,17,33,72,,,,60,,98,,5,72,,81,,6,,89,,,,,,77,,83,,88,95,,,,75,70,,,,18,,36,34,92,15,76,34,,19,,58,32,34,26,,,40,,,79,47,31,73,,95,12,,,3,50,,,98,98,,40,,,,,,,,43,,,,59,87,,,,16,,,66,67,25,87,,43,,44,22,,,,,,25,85,77,,,,,84,,38,,39,85,,82,71,,,97,26,,,89,76,16,,69,,59,71,,,,90,,,,32,48,14,2,,,60,67,26,,,,22,35,18,,63,39,,99,,,4,55,98,30,,57,33,6,47,,,,9,,93,18,,1,54,64,,65,,6,5,,,32,67,,,,10,68,,,,42,1,73,22,,24,,97,85,,63,,,42,52,39,,,75,,19,99,68,,,,4,93,81,86,17,,,,,,73,0,,,,24,70,91,,67,45,,23,,10,53,34,89,,27,95,3,,,42,,52,,45,91,47,,,,,,80,10,71,19,,63,,99,0,,83,95,36,96,,6,,,,,6,62,,,,,,,,,14,,,,,,18,,,75,82,11,,,22,,,,,,72,97,24,82,,37,77,84,,,,6,81,75,,22,91,,17,29,,,15,,,,91,,,11,,,62,,,,,7,,62,,48,,80,64
,86,,,94,,,94,52,74,,30,69,,67,61,,33,95,,,,34,,62,96,23,,,,60,13,34,77,,21,,18,32,,12,35,63,,,,17,33,,,,,,,26,19,,84,62,,,,30,53,,44,,,84,58,,65,,95,75,6,8,,,46,,,56,16,,,85,84,,,27,54,81,51,,,,,,,,45,,,,,0,46,45,,43,,,23,,32,18,5,49,52,7,,,,,12,29,90,20,76,17,5,,,,45,99,,26,,22,72,,,9,36,,,78,30,,,,,57,,,72,,,,,,,,88,20,,83,,,83,45,,66,15,95,72,26,99,,,,22,,71,,21,87,21,41,,,,,,51,43,39,27,68,,61,,,,,,,,0,96,,,32,,28,,,,82,,13,42,27,24,29,71,,,,,20,25,,57,,,78,,,,,,68,,42,97,,87,23,82,71,93,,92,33,52,,98,,,,,,95,,,33,57,83,41,,,44,,,66,3,,87,,3,,,44,,,51,46,,,,64,,,,,,,,,,11,17,89,,76,,2,89,1,46,80,95,,78,34,,,65,37,,91,19,94,89,,33,,,73,,,40,30,,38,50,50,,,44,87,27,74,2,,83,,3,42,8,49,17,44,,63,,,3,,79,,77,69,,70,31,,,71,53,63,,11,52,,46,55,,,14,,51,64,15,,,,51,39,46,25,65,,,38,,59,14,,,52,5,74,44,,24,,,,,89,,,57,,,,29,,,18,,54,71,,,48,,37,58,14,30,,68,,,18,,81,90,42,,40,,,,51,62,67,37,,,93,34,63,83,,9,,,,,65,,,,,24,47,97,26,,18,,56,,20,,,,,70,80,,,35,,54,,,,33,,97,,,,,,,,,,,,,23,,54,,79,18,23,,58,,52,,,84,,,69,47,,43,,63,77,,,97,9,,85,64,54,22,,25,82,,,,83,,,,75,22,94,85,,13,,17,77,93,,29,,,95,,,23,,32,,,52,,,,,35,96,97,,,21,94,,,32,,,,,,,,,,58,,,45,57,,79,90,89,87,87,,,,,,,70,,,,,,80,29,11,94,24,41,,53,71,,,,,,,26,27,,4,,,,49,,86,,64,,,,,,96,,,79,,2,,96,5,,,,,75,69,34,36,,,,25,11,66,12,,75,94,63,,10,,,51,,86,99,61,3,83,,,15,,3,48,23,,,,27,,,25,73,,,,,,89,44,,57,66,,16,,,0,37,65,,56,40,96,16,53,11,,42,,83,,90,82,17,,68,,56,64,39,9,27,,29,52,,91,,83,,,93,12,3,43,,39,4,92,,2,,58,,51,,46,50,,5,92,38,1,,,,79,,,59,71,,57,,,59,19,85,90,33,20,,1,,,,,,,,95,75,,72,,54,56,28,,19,,,20,,,,50,86,31,99,,,,93,,33,3,15,78,,96,,,79,,35,9,,,95,24,45,86,,,21,,,47,18,65,68,41,47,96,,95,,1,28,,,1,,27,,,62,,,96,,81,19,,22,,,,55,,63,,,91,,16,,10,,52,23,44,,,92
96,36,78,70,90,80,98,,,26,,35,86,,26,43,,96,,,29,,,78,,,18,7,98,,,11,53,2,,61,,64,,48,12,,,,,3,14,,66,,,72,49,80,,18,,,2,42,,,,14,,,,73,0,81,76,,,,,,,,,14,,21,,,,46,,82,,,34,,0,,6,65,,,54,,,44,,,96,,64,,,61,,7,,90,,,,,49,,,85,77,26,72,,,,,,55,61,20,61,,30,13,,89,58,,,,79,63,,,49,,,78,,15,,,9,,45,,,55,34,,,,,,79,,35,,,,85,,,,80,,,,83,86,,21,,,,,,,,,,32,,35,56,,,81,1,10,,,89,,,,,96,2,40,79,,,,79,,,32,5,46,,30,,94,,,47,,,,97,,60,,78,,,68,,58,6,73,51,,,11,89,4,,19,37,,,37,,,51,28,,42,58,,,59,2,,15,83,58,,85,,12,97,80,56,,83,,28,94,24,,75,,99,,,62,54,,,,,19,85,,67,69,15,,,24,,38,,,,27,6,45,,91,,,,17,52,,,,63,41,,0,76,,,,24,93,79,,,52,,70,62,,,,52,,23,25,,,30,17,,,35,32,24,60,81,37,,3,47,30,,,,,57,,56,17,60,,70,36,54,60,42,,70,17,,,50,,96,45,,29,80,30,84,65,14,77,,,,23,,,41,,,,,41,35,,,85,4,,,,,,,36,37,54,71,,45,84,5,,11,72,,,,,,69,70,,,,,51,72,,74,,,,40,13,32,,55,,62,,83,,70,,,,,,64,72,56,74,51,23,72,,,,,,,,,,53,,,97,,,,,,,,,43,,23,52,54,22,32,27,34,,55,64,49,,,5,,13,0,,78,,39,27,57,,,,82,,35,,58,49,,,67,,,28,11,,46,7,8,,,,,,,,,31,75,,57,,15,,,,,8,26,17,26,,34,94,32,,86,,8,79,10,,5,,43,76,,,67,,,,,,,,,,,,97,,74,,,87,,,,,67,32,12,92,,,72,77,,,,,83,22,,,,,,4,,,46,17,21,,28,73,,,,,,74,42,,,41,,76,44,,,86,16,97,91,,26,,,77,,54,64,91,,77,80,56,99,69,,,,54,,,,,,12,2,74,22,,22,,,,65,,3,,36,,,41,73,,,20,,98,48,,,36,85,15,33,83,7,67,24,96,84,,,34,6,,,,32,67,,,19,,99,6,64,34,71,,,,91,,68,15,,,92,,,,,,9,,61,,17,51,,,18,,20,,,,,60,92,,,29,,52,7,41,22,96,45,,55,62,,,7,,,,,,,55,50,34,14,61,,8,,,,,,1,,,55,61,73,32,1,,63,23,34,,,73,,,59,94,,88,28,46,,73,,14,80,,,,3,,86,58,,78,76,,,,68,67,83,,55,,13,,29,55,,72,,74,,8,31,,,39,5,,,10,2,,96,72,25,56,,61,53,,,98,6,,,65,,57,31,9,,84,,66,,,,,5,,,37,,,65,70,60,58,81,39,,12,50,,,
28,,,,,56,,79,27,96,,71,10,45,49,,38,,90,37,64,9,55,,11,59,,,16,95,10,,50,,76,93,32,26,,27,39,33,,44,42,72,92,34,,,,,,22,,,,24,,15,,82,86,37,56,83,,83,,61,,80,,,,14,46,,57,43,94,14,,,,20,4,57,37,69,21,8,,30,,59,,58,,,61,,95,,,44,47,76,70,,40,37,97,,,1,47,65,,,32,,,15,,,,,63,,,21,,22,40,,56,13,40,,,29,,,6,26,,37,,46,,,,,,70,,,26,,20,7,,53,,82,,28,,,,,97,,52,,68,,,95,52,80,,98,77,30,21,2,,20,,,76,14,,,82,25,37,,71,87,,,69,81,,94,35,5,,,17,,74,9,16,,,,,,63,,,,30,98,11,22,47,,,58,,96,51,88,8,,,6,23,,56,85,20,,,,,62,99,82,,99,,29,66,,71,,,85,,,,10,37,16,,58,40,,67,,85,63,,,26,16,,,,,,54,,,34,,,,15,90,27,,63,,22,37,72,7,34,29,,9,,,,,,24,,96,30,3,15,,68,95,,,,67,80,,,16,8,66,,10,,,96,92,30,98,,5,,,99,,,73,,,,81,88,18,17,,,41,86,,54,,86,,,91,,,,33,,,,,,,61,95,36,,47,,,,40,,,,90,,73,,,3,2,63,38,,,,,11,,88,,1,17,3,87,,78,99,,,,76,75,12,,9,34,36,,,,,,,18,,43,,63,43,,36,,22,79,,,38,,27,48,,5,97,,3,,,,96,,,76,28,65,,93,59,2,72,47,,37,35,,,,,48,,47,,78,69,,,,,,73,99,75,,47,,50,,91,,,,2,75,48,38,,,,1,20,75,,36,11,,,,88,,1,95,,6,,,,,7,5,,,23,,,53,,,71,,,79,,4,,50,,43,,84,97,,,,,,96,,17,,73,,27,,91,,48,,,,,,,11,60,,30,,80,,29,,,36,,,42,22,,,73,,14,,,,3,,61,,,,,18,,20,93,56,,16,,,82,,,,,74,96,47,,,,,,76,67,,69,,65,,66,,76,41,16,,,,,,,,,,,4,,1,5,71,,,69,95,,13,10,0,,31,45,,69,,68,67,60,13,,,,,,76,,74,,28,,,15,,,,10,,14,,59,34,,41,57,,8,,14,88,88,,,,,9,,34,,57,53,50,34,70,6,86,,,47,71,18,,,2,19,55,69,34,,70,53,93,37,,95,48,,,,88,,,57,,57,20,58,4,,,,86,45,,87,,,37,,3,,,79,,,,,,,,,59,,75,51,,,2,,,,,38,19,,95,,,,83,,,,82,17,,21,88,95,,66,,,55,14,,32,16,,,69,,,,,8,,,57,,77,,75,79,,,,,90,,,22,16,,,,,,,26,74,,77,88,57,97,21,11,,,,27,,92,,,88,9,,2,26,16,44,,33,,,34,,73,,,61,15,72,,,46,,,,,26,96,,55,60,85,,84,,31,,67,58,,79,28,,72,,49,,45,,90,
,,,,38,,41,,,14,,13,97,,,22,,36,77,65,7,,21,24,,41,54,,77,32,46,,,,,,77,99,,,60,43,,,,15,28,78,,32,,,59,27,,,,,,50,52,21,34,,38,20,37,27,44,,,,93,,,99,,83,80,,,25,62,,77,1,,24,,,,,,,,,,,59,79,,,74,43,58,93,,76,,0,,,39,41,,,29,,14,90,,,,37,30,,,,,,95,45,69,,63,,,,76,,,,,,,33,,,17,,67,51,,79,97,13,,78,89,16,,,,89,17,30,,,78,64,,,,53,,,19,57,,89,55,,98,,,,74,,96,20,,,96,78,,,24,,95,,,40,,,6,,48,29,72,,3,,90,44,,79,,,,,74,,,8,,56,,82,2,,25,,,12,,,,,,,,,42,5,6,,17,,0,4,54,,75,71,35,,60,,65,,,,3,,98,,62,,,16,7,,20,95,49,81,52,,,85,96,,,90,,18,98,,,48,,83,,5,20,92,,22,,,61,,,50,24,,88,,,,,88,25,,,66,,,,32,,8,24,57,98,66,,,,17,14,,,,89,,98,58,10,18,,,38,91,,30,,76,37,,,,13,,,,59,,,,45,,63,,,8,68,67,,,,95,,,,,,22,,22,35,,41,,,30,10,22,19,76,,,,15,,,76,,,,,72,96,,55,99,,,87,86,91,,,,,85,30,20,68,,,54,,90,98,63,,92,,,,34,88,,,82,,73,,10,27,46,,99,90,,39,,15,,,,,19,,,,,2,62,,90,,,18,,,,93,,68,,,,0,5,95,37,86,,77,,,,,91,,29,,59,73,,,,,,65,53,,22,,32,91,,,37,,,77,,94,,,12,,4,37,,,,,95,,,,,,,76,11,90,,,0,30,,12,61,,34,67,,48,,,,22,,19,71,,20,40,,,,1,,18,,,,,,,,,61,59,36,38,,,,57,,24,,53,,50,,,35,94,,,,,5,,,,,,8,,,63,37,,93,80,24,64,47,63,,60,,,8,97,,,,,60,36,,,,,,3,,,,,80,,9,73,52,,84,39,,53,,62,63,67,38,,98,,31,57,67,43,64,7,,,12,,27,,40,,,,,,62,30,54,,95,81,79,54,,13,,77,87,,6,41,,19,61,,94,52,7,,,,78,,63,58,98,,,66,,,,,5,53,,15,,,,,59,,,60,57,,85,29,,,,,77,,,,72,41,82,84,38,,40,40,41,,,81,42,,34,97,,,98,,,,95,86,75,51,86,,68,,40,99,89,79,,80,83,37,,71,,,40,84,58,12,84,21,,,,58,12,,,,93,,13,,40,,37,66,,71,34,27,0,,17,,,,,,37,3,,,14,49,,31,84,47,,69,,,,,99,,,,32,,,19,10,42,,18,61,,16,48,,8,,40,45,68,89,,,,,71,,,64,50,,,27,,,,78,95,16,,29,,77,97,94,2,83,,,,75,25,46,,89,75,,,25,,,,92,,32,,73,,26,64,58,,,,,85,,,93
6,,,91,49,45,89,,,,,,,,85,4,,76,32,,37,53,68,,63,31,,,,32,77,5,24,46,26,82,,,,,,,40,16,68,45,93,72,,81,23,,51,,,,,86,,,22,68,55,,79,,43,90,28,67,,62,,47,17,67,,49,,,,26,58,48,,23,,52,,32,,0,86,27,21,,90,,97,2,,,23,,22,70,30,,54,,98,96,44,40,,84,24,51,58,50,39,71,56,,,56,80,,,50,,3,56,25,92,0,27,10,45,,,,52,,,98,15,,,44,69,,63,59,30,,33,,0,,,38,69,27,,,30,11,92,,,36,78,,82,73,,79,65,26,40,,50,,37,,,51,,30,,58,,,,9,8,,,69,40,,19,,,,,62,7,74,,26,45,,50,,19,82,8,39,19,,,29,,,,53,,52,16,,,51,,,83,,,80,,49,,,,,48,94,,91,49,85,,,,63,53,,2,,24,,,,93,97,46,46,63,13,,,,81,61,28,,0,,,,,,,,59,14,,85,50,,,15,64,73,28,,72,38,93,14,43,36,68,30,,,87,,76,7,17,33,,,,11,,50,55,,37,,,14,62,79,24,48,62,13,29,58,,,25,,42,79,57,41,,13,21,98,48,,,22,8,,95,67,,,,7,,83,,92,,,,,29,30,,,30,,85,97,49,,,15,,,53,72,24,65,,,,16,,18,,26,,41,4,11,99,90,79,,30,57,,,37,60,63,90,83,67,72,54,22,,85,,68,5,,49,12,,52,37,,57,71,,,,,,61,,,,35,24,17,,,,,17,91,81,,,78,,,38,,,,22,,,,,,31,82,85,18,,,,58,16,51,,,,,,29,42,86,32,,,,,25,,,,,,,5,12,3,87,93,49,,,,,,,85,56,30,30,16,19,,,39,30,,7,13,86,,83,,94,41,89,,70,,42,,,,0,,,85,,41,,69,62,79,,75,9,,75,37,41,33,43,44,,14,12,,,83,,,,69,,23,,,,,92,,85,68,,,,69,95,40,,21,84,14,,,65,,,79,,,93,,,,,78,19,22,,,,25,,14,74,47,69,27,,60,99,25,,,13,,,1,63,91,,48,,76,,30,18,,,72,,47,,38,34,,,,,,,35,,,34,,,,,12,12,26,,,20,80,,,4,87,54,,,20,,39,9,45,65,,,30,86,44,33,,,95,9,3,,,82,66,,99,37,,,41,4,2,9,78,,58,,,88,,16,,74,10,,86,61,37,,,17,2,58,27,,26,79,,99,94,,,66,,75,92,25,92,,0,,,23,,35,,17,47,4,3,,62,,93,95,46,,,,,68,,89,86,26,,96,,55,,47,3,36,17,,,,,69,,,82,,,11,32,75,36,94,,,54,,,,,11,,,60,,5,17,,,,27,,,28,,85,13,,89,,,88,,36,,18,,,41,59,,62,,24,,,57,,29,48,,,72,,60,,68,,,75,97,99,68,37,48,18,68,,,,,61,,71,,,16,,44,64,,2,,3,,48,75,,,49,,19,,54,,,1,,17,72,74,,29,,,,,,,72,4,34,,55,,,,,98,30,,1,51,,28,,25
