20
,,,38,,,90,,,,,74,23,15,,92,56,,,
65,40,,,,71,65,27,76,61,96,,,26,,90,,50,52,
,14,,82,54,,,82,35,60,,69,,,57,,,19,58,
81,42,87,,,,,27,,,,,35,81,,71,,44,20,
,16,96,,51,78,15,,,80,,73,15,76,77,48,88,,,
58,51,,1,6,,9,,,,21,7,,,,,,,,
,,,21,57,60,,,,85,80,,,,39,,49,16,69,77
,61,54,66,,30,,,,,53,,29,18,,25,,36,48,
32,35,,,,,,,,56,52,,,,,,98,54,14,90
7,,68,,,,,,,39,,8,,18,,,66,59,47,93
,4,31,,,,91,,,,,15,,,,92,,84,78,9
75,,71,,,,,55,,,,59,,,12,6,,48,78,
,,57,84,,,34,,,,48,45,91,,19,60,88,,,74
60,,,,,28,,81,,,83,,,,,,,,82,66
,3,,72,,,,,12,77,,,,86,,48,,29,,
,,53,90,73,,99,40,47,17,,,,,,91,,,51,94
,1,,,17,,,82,,69,,,8,65,,84,11,91,,22
94,,,,37,,52,67,,,,50,,,79,40,43,33,38,
63,91,96,16,,24,,3,40,83,,,,44,,,,43,17,
41,,,,,,82,,,34,22,,,,,,,,19,20
