50
7,,8,,80,,,63,56,,,,32,41,93,78,58,,,73,,,,89,,,95,11,,78,47,,,2,,61,,,,53,75,,81,,5,39,,71,93,95
75,,7,73,69,66,1,,,,,95,54,76,,,,,16,98,15,97,36,,,,,,,32,28,,61,,,,,,,84,52,66,19,14,41,26,,42,81,
34,40,74,,61,10,14,,,,45,30,43,,,,59,,,16,,,,,,95,,8,,67,,15,,,,,,,,,,47,41,,,,82,67,,25
53,,,41,,94,,82,39,97,,17,92,,47,70,,,81,58,24,,,34,,96,,,53,,99,12,23,,23,,28,1,,46,58,85,,,37,,,,,
,40,49,,,,,44,90,,,14,89,,,,42,50,,,72,91,,,,,,25,34,,63,44,96,37,76,,62,,8,,38,28,,,90,,61,92,,29
51,47,50,37,,,,64,22,20,19,31,24,,57,70,11,,77,43,82,,22,1,,,74,,86,,,,,31,,39,83,67,5,,99,10,,,,,67,,,
84,,50,,,,,98,,45,95,25,12,29,,50,73,6,,48,0,,,13,,,50,,,,23,,38,,,,87,,,37,34,82,72,,30,54,,7,,42
30,74,34,,,,,,51,28,,63,45,,55,0,3,,41,,,21,,57,,40,74,,,62,31,60,,27,62,,84,67,,,,12,56,49,,,,59,31,
,72,41,,,,,87,,13,9,41,94,,9,41,,,,14,42,,15,57,68,20,,,45,54,44,76,,,,20,,24,97,67,,,,45,,57,61,,49,
,39,7,,27,,,,,24,94,,9,,57,60,61,29,,,,23,,,70,,,72,,,47,,,,2,90,,13,85,,,,,29,61,,0,,,
52,29,,,76,75,68,31,,,,13,61,98,,,30,37,50,95,,,,30,45,,,,97,,60,42,,,,,40,,91,,,71,50,,,41,,,,92
57,,78,64,8,,,,92,45,10,,76,,,,,,60,,,97,,,0,,,15,,,,30,,15,88,,,,,,,,,38,,,,,,
73,66,57,2,38,,13,71,15,48,,4,65,,,9,69,81,25,,17,5,63,96,49,,25,94,91,37,,24,,44,,,,47,,,20,,80,98,,,22,55,29,22
,,,,,,7,52,15,19,,99,,58,,,,,,73,56,68,,47,98,19,,11,,,56,24,42,,,44,,,,90,,,,3,75,,62,,30,
,37,49,,4,40,,65,,89,,,7,39,,10,,59,0,,,,,,97,,12,8,42,71,71,,,,79,83,,32,,57,,,29,43,,,89,67,,
86,,45,,,21,,,25,,,48,,,44,6,91,1,,55,58,99,61,,48,,80,55,,,3,,,,57,83,0,28,79,39,58,63,32,21,72,39,,,,
63,19,69,88,,,,,,83,0,20,,68,95,,30,,66,,,,41,,50,1,,,,49,,,,21,41,53,,99,,,42,86,,25,,3,,,4,90
14,9,61,,3,84,65,12,14,47,85,67,,31,,,32,75,89,,36,,18,,,,,,,22,,,24,,49,,69,37,11,24,55,22,49,59,33,,11,,,21
70,,,44,44,,,15,99,,46,,3,24,40,48,15,,,,25,28,32,,77,77,63,,,,64,92,,,93,,97,33,33,,,,,,,35,32,71,,
,,29,,,,,,46,81,76,39,18,,51,84,,,64,,57,22,,,,,,2,,91,36,97,,19,,98,97,90,64,63,89,5,,,,,,,,
64,,92,,,,10,29,22,81,99,,,,35,,,6,,95,,,37,,17,,,93,,97,40,,,99,99,57,37,,,92,,,,55,84,83,78,,,
69,36,,,,,74,,,,52,,16,7,,37,88,,64,72,,,49,,40,,,69,,,55,63,96,14,,,62,,47,,,59,,,,28,1,,77,6
56,72,83,26,98,41,,,,,31,9,13,,30,8,,81,,51,66,,1,,74,23,,98,,7,,,,16,48,,,,,12,,,,,34,86,,,99,
43,,8,12,42,,,,,18,62,25,,,,,,53,,92,23,3,,,20,21,,74,,35,67,75,,,96,,,35,,67,,50,,,,,83,,,
80,,,,,,,34,25,,,,40,,,,,,3,80,,98,69,,,,,,93,,,,,50,70,29,,,,79,,,59,,,28,,2,,
,,58,,,,,,,60,,,,39,79,33,,,42,26,,,45,58,89,54,,40,,,,,,,76,,34,,29,,43,10,,,90,8,96,87,25,0
,37,,,33,,,49,96,,13,,96,,,,91,,,29,34,,3,,,,,,,1,55,5,,46,77,33,,,15,,27,44,36,,31,17,72,57,,86
43,61,92,,66,,,,,95,18,,,51,77,,,,,,,,77,49,39,67,,,72,,,94,7,34,,,39,8,,65,83,,,,29,88,,,,99
,50,,15,,87,,,15,,99,90,80,92,49,,,,,11,,,23,,5,10,76,,,,89,,80,30,88,88,,,,,39,,,31,,,74,47,,42
15,,31,26,,63,,,,96,66,44,,74,57,,,,,55,,,16,40,,,12,,,22,,,,,,,88,,96,,,39,,30,,,31,,95,62
84,24,76,,71,31,,,,4,,,,,,42,,6,,,,6,,46,,67,59,63,,64,,,,,,,,,,83,,75,42,,,,70,,99,
,42,,70,18,,96,,5,,34,54,,,,77,,59,,,,,23,65,93,49,76,29,34,69,63,23,29,15,,76,43,46,68,1,12,14,52,,96,,12,,,9
