70
,30,9,,,72,,73,,95,,,41,,,,98,,10,,55,,37,14,,,33,66,,,59,,73,3,29,,,10,45,,84,23,31,,,,35,94,,93,,47,98,29,,,76,,,24,,0,,85,33,,26,51,43,
2,37,89,12,52,53,,,52,91,,,14,,,71,45,50,,,,,88,62,83,72,,,,95,,,45,,99,88,39,,50,35,59,,,49,,,,,9,,49,15,35,,,,,92,,79,27,55,32,,76,,97,,9,98
,32,,,92,,57,,,,,6,86,,,,,37,52,,72,,,,,58,52,15,35,38,4,49,,,,20,,,,14,21,22,78,3,28,,29,,,7,,,,17,,43,,,41,,,,,20,89,,,20,75,
20,4,,,43,64,,,62,,7,,7,,,2,,,75,24,,,7,91,45,22,,14,,,,27,97,,29,,11,85,97,0,41,99,64,37,,,99,,22,,92,,40,,10,54,,20,,,11,,9,60,,93,63,,2,
,,,9,,39,28,,89,14,96,40,,69,,32,79,,,36,62,46,78,,87,,,,99,,,31,90,68,,2,7,43,,16,83,,,74,11,,57,1,17,,,,,,25,18,1,,46,,25,,34,,,,,,,26
,1,22,56,,50,92,71,37,42,,,40,,20,84,63,36,,35,,,83,,42,,57,23,16,9,3,51,,85,74,92,,,62,87,,,,,,82,34,19,,,26,40,51,86,46,92,6,,,75,56,,63,89,,15,,70,87,10
34,,,,,,22,,,,86,,62,15,95,4,,,,23,,,34,12,,,4,16,75,,92,,47,,57,,44,,47,70,63,61,19,4,75,,95,30,44,,,,5,,,53,,98,,,,,99,68,95,,71,,13,
,,99,,,50,,,56,21,30,,11,,65,,,9,58,18,98,50,,55,,27,,,12,21,29,,,33,17,,,,,41,,,,2,,55,,,,,9,,46,76,,0,69,,86,79,74,42,,28,,69,8,69,,98
36,,,86,,76,,,32,,,61,92,,,85,,76,94,7,53,,90,16,,66,,86,99,38,34,9,18,84,,11,28,,,,13,53,42,,97,,83,,82,53,,26,,78,,21,,,,,,,,94,,57,68,69,59,
,,,20,15,2,10,,12,80,,,16,,40,78,41,3,,58,88,,,,57,6,,,99,72,,6,,,,53,,64,,95,8,,,96,,13,,,19,58,27,,,,78,45,,,,60,64,0,,56,45,,92,50,,79
,,31,61,,85,30,41,,56,17,9,,42,52,51,2,16,96,78,,33,,,,,,75,32,,23,76,,,4,96,,34,43,,28,70,65,,,,90,58,,,,18,42,,78,,,74,41,,,,44,41,,64,,,48,2
,29,,37,,,19,30,46,,,,,,,53,,,15,93,80,,,72,,86,,,49,,,38,55,,,,27,38,,19,99,,,,,,,,81,,71,6,38,78,85,,,,22,,,53,,4,,46,59,4,43,
,,8,,,,1,,,,81,41,,83,,94,,,9,25,,13,36,72,,,,70,,,,,30,20,96,,,66,,,34,0,45,,,,,,65,1,,98,,,60,,48,30,96,,,,,,,87,29,23,40,
,19,1,53,,78,8,36,53,31,38,,,33,30,,81,25,28,,,7,55,31,,62,,,,84,,8,,,,52,92,,,89,,62,,,83,36,20,,15,42,,66,80,,,,92,,,,,63,,,,6,5,54,,12
17,,78,89,,52,,72,,,88,58,,,,83,8,,,,85,95,,21,,,,,79,,,66,,,53,,10,,90,55,,79,34,56,,74,64,84,,,33,53,,,,38,,,76,45,,77,,35,49,60,,22,71,
,88,,,,44,,45,42,21,,,84,80,,,20,,66,63,,74,,,,12,,,,,,,21,,99,,72,92,,,,94,59,54,38,,8,2,,,,,,,5,52,53,,72,,46,,,,,,90,,81,
,99,91,51,83,68,,,,72,,70,22,,33,,,53,,43,,,42,,53,,,78,,,,89,99,,,,,22,94,18,,87,,,,,,,63,4,,,,,,,56,,,81,,73,,90,,8,24,,,
,87,,87,,30,96,,39,,,,,,,35,,,15,96,64,,,70,,84,56,51,45,96,79,82,16,42,41,86,77,,62,98,,,91,,,,,43,17,,0,0,47,92,,97,94,74,,,93,,7,88,18,,,17,,1
,,,74,,,70,24,,,,,10,36,93,19,15,,0,,82,84,63,32,,4,,37,,,,75,,,55,70,,,37,,,,,,,90,,,,,51,68,,,,,10,,,83,28,,,,,57,10,5,,
81,,,,89,56,,,,,42,6,10,,6,16,25,57,,,51,78,49,,21,74,45,,33,,35,87,57,92,19,40,28,,,,,24,,46,,,31,79,,21,,,,,,36,42,,,90,,,,,,,10,,,
,97,,,38,,88,79,,70,,37,,82,37,77,,,14,,,73,70,99,,89,44,,7,,,7,,21,35,,,85,99,,,44,12,,97,80,23,,,,,,,,34,,,22,97,24,,,59,66,25,28,66,34,28,96
46,,,69,,,,,30,80,,,,,87,,,66,,80,,96,,16,,,4,,78,67,,,,68,30,,,,4,1,65,25,,,81,39,92,43,,0,34,,,,,59,,12,,,41,87,,,96,,,26,24,33
87,72,98,96,,,,31,3,50,28,80,95,,90,,31,80,22,,87,,,22,,,,23,,,23,,9,51,,18,,,,,37,,,5,,22,93,40,2,,86,83,,81,,,18,86,,28,,29,30,,,,,52,27,
24,50,69,,,,31,,,81,,,,,,46,,43,,38,,10,14,56,,95,82,,22,46,81,68,,28,39,,,,,34,,9,,31,33,,,56,,,58,88,,,59,76,84,32,,,,93,20,53,,89,,,,
,,78,,35,,,,,,,,37,10,,59,90,,,73,65,,,1,4,,88,41,,82,,46,60,11,97,,,27,,65,44,61,,,5,,,,3,95,,52,,43,,82,55,,73,,71,50,,33,,50,12,62,,0
,,23,,,,,61,,,84,,,66,54,,88,13,,,,62,,3,79,69,76,9,74,81,1,,,1,,,,43,3,44,,2,,29,,90,67,,7,80,83,,88,74,,,84,24,98,,,,,,41,,,,46,14
86,51,,30,,,,30,6,47,,72,,39,,62,,,14,75,,,,16,,,33,47,,13,22,89,9,,55,18,10,61,,,31,1,85,,,,,45,21,,10,,,55,88,96,,57,,97,,,96,29,18,75,,,61,48
43,,,16,,34,73,59,20,,27,96,,,54,,,88,17,,29,43,,,48,,90,93,25,,70,28,,36,99,,82,90,43,,,45,,23,,,77,,,,62,37,,14,,97,,48,,86,22,28,55,62,76,53,15,27,18,
42,11,99,36,24,,16,22,,2,,,,,,16,43,,75,2,,,,38,80,,,10,,,,,44,,83,89,,46,37,35,,38,,,87,2,,81,67,33,44,,,,14,,16,,,49,66,52,10,,,,,,,77
,,4,43,,,51,41,59,55,80,13,50,98,,49,,68,2,42,88,90,,,80,,72,,74,,81,,,,,62,86,,,,,,15,58,,15,82,61,32,,,50,,,,,,57,,5,,17,0,69,,,,89,5,30
