100
,87,96,,26,,,,55,63,77,9,90,,,68,60,17,,,38,56,83,3,4,23,,28,,12,,47,,,,84,65,57,27,92,1,,,60,,71,92,,72,82,68,31,55,12,,20,,,,,0,21,66,15,51,,,35,,95,,42,91,,,85,50,78,23,72,86,,43,,,18,,42,,51,,,55,52,,,,,65,
,28,99,8,,,45,99,,,61,,,11,12,69,,93,89,,,12,,37,,24,6,,57,,11,8,86,53,,,,,43,,60,12,,77,,88,22,42,75,,,,79,71,56,96,84,27,95,,,59,20,2,,,76,22,43,16,75,9,16,,44,,,,65,,20,,,,79,95,81,13,,8,77,,,77,93,23,78,,62,17
44,,7,18,28,,,85,21,76,,96,40,,,82,,,61,32,71,,72,,,44,,,,,70,,29,41,,12,4,92,,88,33,87,57,,27,54,,78,92,,50,,,,27,,30,31,,,,,,82,,1,15,33,,24,,,,,,74,9,,,,,,,29,,18,,94,,,,17,18,77,,47,,18,23,
,16,85,,21,71,,86,61,15,,,73,,,32,82,61,,78,62,9,,9,,25,,,90,75,62,,49,,85,16,33,,99,15,,14,15,88,33,,0,,,58,,15,,8,,,20,60,72,58,,62,61,,17,,,81,14,3,,90,93,,25,,,15,70,,78,86,36,,,90,,,,60,,,,31,,92,34,24,45,33
,,,,72,76,44,,,,67,67,44,34,,32,48,,,87,16,27,50,,21,,,76,51,,88,,43,15,,,47,,77,,,,41,38,,86,,40,41,8,,34,,21,,,49,,,94,,86,,,23,,,,,28,,28,30,,,,,59,,59,7,29,42,33,15,,,6,,,,,99,,36,90,2,,70,43
82,3,0,,5,,7,,62,,31,62,,,55,37,38,80,64,,52,,,9,,,,38,,,73,51,,,71,79,67,,,,98,38,,67,3,68,,,,60,85,,,14,,,70,,,,94,58,43,58,96,,,90,,65,,38,89,21,,,24,84,54,,,,,17,,,,,,41,26,,,,,,,4,,33
,,51,,65,21,,88,,99,,91,70,87,95,10,16,70,,40,,50,,47,31,,,,,13,,,19,26,47,26,26,,,60,,,13,35,95,76,59,,,62,96,45,37,69,81,77,48,,,19,,10,5,,,,46,,27,38,48,,,,,,96,24,,91,,,4,35,86,,88,38,23,9,75,27,,97,,49,91,66,78,52
50,42,64,75,8,38,79,,,17,82,5,,93,,,,45,84,87,,44,97,,,72,5,88,,74,0,,,8,,77,,,19,49,81,73,,,,,55,38,,,6,,,67,,85,,47,,,57,,,60,,,,,,,,,2,,,75,,,80,79,,,,38,,,70,,,,,,87,,77,,,8,87,38
,85,36,57,91,,,72,3,,,53,37,51,90,42,,63,6,,,99,,73,49,6,,95,,,88,,,30,,,9,18,,,36,98,59,,81,13,,,,,,,82,,46,5,61,65,,,,,,,29,20,84,,52,38,80,,7,,,45,64,68,35,,,,80,72,,,91,,,,92,,69,,,,47,80,,
,87,,95,,91,,,29,91,,15,80,29,,,37,23,,96,45,74,85,,26,,,41,,93,96,,84,,12,8,40,,,54,,28,76,,,,,25,72,81,,31,78,,58,,99,7,69,72,,,65,,,,20,,78,62,,51,91,8,,67,,,94,41,,,42,90,,10,,,,,79,,,,,13,72,,59,8
61,,47,58,95,86,,,,60,64,,,36,11,76,25,,,,,35,5,43,85,,,64,,,,,,46,67,,,,,75,,,39,,68,,89,42,,22,,,92,,,,,,,74,61,85,,,89,,,,,48,,,,,,73,,,17,23,,,,62,,37,,,34,2,,94,,79,24,60,,,,
,27,,,38,,12,,56,,,96,87,,27,89,64,66,,,,,,9,15,75,,,9,65,33,,51,,,,13,16,,45,93,,15,75,30,,,54,,28,,,,71,,17,78,,43,15,28,,59,,,,30,,46,84,35,91,92,58,,87,80,,28,32,,,,,21,,44,31,8,,,85,75,67,,16,13,,52,
,,,,58,60,,12,68,,80,53,,4,,,,57,,,2,50,18,7,,14,64,84,,,11,,83,,,72,,,74,24,99,,46,,,,,,41,,47,27,67,,,,74,61,,43,9,,27,47,,,,,,96,43,83,,,17,49,,,82,,,56,,19,78,,76,19,86,,7,,85,97,89,,,19,,
13,64,21,83,46,,,,87,36,,,68,2,16,,73,11,37,70,69,,,,86,,34,,,,95,46,27,38,95,42,44,,,,51,93,,,,,,84,56,5,65,73,,,12,66,47,0,74,,,,,,,18,7,45,,,22,,,,69,,1,55,,75,91,2,,,,,,55,54,,78,,82,,62,,34,,,1
,97,,,3,,75,,57,,32,,54,,,,,80,,80,44,,86,32,,40,90,82,98,,,9,,5,,,,,96,,,,,4,,47,61,,75,83,95,67,,,,74,,,,14,8,23,,,82,45,78,,,14,77,57,,,,,,12,,,71,,,32,79,,,,36,33,,,50,83,13,59,33,20,,
,,76,17,,,57,88,,2,,,95,50,,95,,,,,,74,9,,8,,,,,23,12,,58,76,16,,,23,,,,,67,,,52,16,23,80,,,8,,,,85,,58,,,25,,,,,,,53,44,7,44,99,74,7,,18,,66,,,69,,,,,,,,57,0,12,,20,38,,64,,,31,
,51,39,,,58,,71,37,82,2,,,92,61,36,,85,94,65,83,54,,13,7,85,,56,,63,55,21,,,,,59,,23,,,65,87,72,92,,,60,,81,78,17,,41,,,,58,16,,,,50,38,50,,95,48,,,,,66,,,23,97,,,32,73,,5,,28,,39,51,90,72,22,,,,,9,,86,,
,,40,,45,,,20,71,,,73,,,21,,,,0,,,3,,82,37,,36,,71,28,,,30,,,,11,36,50,90,99,5,,80,25,,86,,45,,48,53,71,,12,,94,9,46,,98,72,15,25,50,,64,10,29,,,,,77,,44,,18,32,,,62,,,65,,,38,,18,59,,71,,68,20,7,43,26,
,71,13,,97,20,,,,17,,22,,45,,,,,,,,85,,,,82,,,,51,21,32,19,,15,39,,25,,11,,8,7,53,48,96,,55,,40,,,,,,18,,78,,,77,,22,12,31,12,,0,,26,81,77,65,,,,31,,,,80,,22,,28,90,29,,12,,7,94,79,33,,,,,,80
,3,,68,,63,81,33,89,,,33,,,66,,,,,,,,11,73,46,86,14,46,,,74,99,,24,31,63,95,,,34,35,,12,,72,17,36,,,,,,,,96,,95,,,74,,,70,,,80,,,67,17,30,,,,,94,63,28,,90,,,17,,,,11,,8,92,,,,,42,24,,84,,45
,77,,,48,36,58,42,,13,,35,,81,29,26,,,28,,73,,56,,71,,,43,91,16,57,47,,32,86,,65,8,59,,94,33,,,5,19,16,,,,,,,,60,,36,14,34,,5,13,38,,,77,50,,28,69,27,,7,,87,,,,67,,12,,,,,34,44,,17,,,,43,98,18,,,,,94
,9,,,,,,37,,,10,86,,33,,,47,,,27,,,,29,,,,37,,,81,14,,33,10,59,,,38,,42,69,24,,22,67,,,,,77,14,,63,44,62,78,,67,,,,,,,,,49,20,,,69,,88,92,,,,12,,44,,,,39,,,47,36,,83,10,65,74,22,,,,,
